event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
1,53,128,0,3,7.17539614E+02,3.40206959E+02,7.28162532E-01,-5.44203199E-01,4.16679980E-01,7.28162532E-01,-5.44203199E-01,4.16679980E-01,1.00000000E+00,2,2,53128
2,53,128,0,3,5.27940211E+02,2.33456027E+03,-7.03077208E-01,-6.50702326E-01,2.86825597E-01,-7.03077208E-01,-6.50702326E-01,2.86825597E-01,1.00000000E+00,2,2,53128
3,53,128,0,3,5.50449002E+02,6.61465222E+02,-3.55721989E-01,9.28510011E-01,1.06447290E-01,-3.55721989E-01,9.28510011E-01,1.06447290E-01,1.00000000E+00,2,2,53128
4,53,128,0,3,5.03137179E+02,3.04562013E+03,9.31842662E-01,2.18712703E-01,-2.89541029E-01,9.31842662E-01,2.18712703E-01,-2.89541029E-01,1.00000000E+00,2,2,53128
5,53,128,0,3,1.58423741E+03,7.61925130E+02,-8.53698466E-02,8.39354979E-01,5.36838159E-01,-8.53698466E-02,8.39354979E-01,5.36838159E-01,1.00000000E+00,2,2,53128
6,53,128,0,3,7.88665690E+01,2.27709431E+03,-2.71740366E-01,-2.91805577E-01,9.17064163E-01,-2.71740366E-01,-2.91805577E-01,9.17064163E-01,1.00000000E+00,2,2,53128
7,53,128,0,3,2.04148247E+02,1.49539091E+03,-2.90972776E-01,4.58485966E-01,-8.39717490E-01,-2.90972776E-01,4.58485966E-01,-8.39717490E-01,1.00000000E+00,2,2,53128
8,53,128,0,3,1.19318963E+03,5.91087272E+03,6.07053614E-01,-7.84123737E-01,1.28980128E-01,6.07053614E-01,-7.84123737E-01,1.28980128E-01,1.00000000E+00,2,2,53128
9,53,128,0,3,7.07917300E+02,2.56767669E+02,8.65325916E-01,3.14615744E-01,3.90164059E-01,8.65325916E-01,3.14615744E-01,3.90164059E-01,1.00000000E+00,2,2,53128
10,53,128,0,3,1.19083784E+02,6.04346033E+02,2.52898335E-01,-2.11442861E-02,-9.67261780E-01,2.52898335E-01,-2.11442861E-02,-9.67261780E-01,1.00000000E+00,2,2,53128
11,53,128,0,3,1.23506551E+03,1.33819693E+02,6.84979240E-01,-6.03246712E-01,4.08530104E-01,6.84979240E-01,-6.03246712E-01,4.08530104E-01,1.00000000E+00,2,2,53128
12,53,128,0,3,7.67189078E+02,4.06050888E+02,-1.98980309E-01,7.60728331E-01,6.17818131E-01,-1.98980309E-01,7.60728331E-01,6.17818131E-01,1.00000000E+00,2,2,53128
12,53,128,0,7,4.42900986E+02,4.06050888E+02,1.83125990E-01,-9.82791763E-01,2.41913691E-02,1.83125990E-01,-9.82791763E-01,2.41913691E-02,1.00000000E+00,2,2,53128
13,53,128,0,3,4.13130825E+00,9.18005615E+02,9.95284151E-01,6.20621705E-02,-7.45502939E-02,9.95284151E-01,6.20621705E-02,-7.45502939E-02,1.00000000E+00,2,2,53128
13,53,128,0,3,3.18999992E+00,9.18005615E+02,-7.17589744E-01,-1.98647976E-01,-6.67535723E-01,-7.17589744E-01,-1.98647976E-01,-6.67535723E-01,1.00000000E+00,2,2,53128
14,53,128,0,3,1.45119866E+03,3.38944084E+02,1.62555192E-01,9.85220458E-01,-5.40042448E-02,1.62555192E-01,9.85220458E-01,-5.40042448E-02,1.00000000E+00,2,2,53128
15,53,128,0,3,1.05401994E+03,2.26528964E+02,9.54563171E-01,-8.74381008E-02,2.84892490E-01,9.54563171E-01,-8.74381008E-02,2.84892490E-01,1.00000000E+00,2,2,53128
16,53,128,0,3,8.33718159E+02,5.43826236E+02,7.36234825E-01,-5.51810321E-01,3.91744371E-01,7.36234825E-01,-5.51810321E-01,3.91744371E-01,1.00000000E+00,2,2,53128
17,53,128,0,3,1.00909037E+03,3.91163005E+02,5.03151721E-01,4.34080005E-01,7.47270295E-01,5.03151721E-01,4.34080005E-01,7.47270295E-01,1.00000000E+00,2,2,53128
