nuclide,particle_code,particle,multiplicity,events,fraction
I-128,3,ELECTRON,0,69683,0.069683
I-128,3,ELECTRON,1,873985,0.873985
I-128,3,ELECTRON,2,49022,0.049022
I-128,3,ELECTRON,3,7310,0.00731
I-128,7,PHOTON,0,873456,0.873456
I-128,7,PHOTON,1,99360,0.09936
I-128,7,PHOTON,2,12424,0.012424
I-128,7,PHOTON,3,2629,0.002629
I-128,7,PHOTON,4,6701,0.006701
I-128,7,PHOTON,5,484,0.000484
I-128,7,PHOTON,6,1852,0.001852
I-128,7,PHOTON,7,490,0.00049
I-128,7,PHOTON,8,1212,0.001212
I-128,7,PHOTON,9,261,0.000261
I-128,7,PHOTON,10,1131,0.001131
