event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
1,11,24,0,3,4.68655103E+02,2.59466140E+03,5.98768560E-01,-6.60174555E-01,4.53481827E-01,5.98768560E-01,-6.60174555E-01,4.53481827E-01,1.00000000E+00,2,2,11024
1,11,24,0,7,2.75400700E+03,2.59466140E+03,-3.28551610E-01,-2.89201824E-01,-8.99119650E-01,-3.28551610E-01,-2.89201824E-01,-8.99119650E-01,1.00000000E+00,2,2,11024
1,11,24,0,7,1.36862602E+03,2.59466140E+03,6.40115657E-01,-7.40661871E-01,-2.04137056E-01,6.40115657E-01,-7.40661871E-01,-2.04137056E-01,1.00000000E+00,2,2,11024
2,11,24,0,3,6.27200224E+02,1.36612969E+04,-2.65307362E-01,3.10448527E-01,9.12816365E-01,-2.65307362E-01,3.10448527E-01,9.12816365E-01,1.00000000E+00,2,2,11024
2,11,24,0,7,2.75400700E+03,1.36612969E+04,3.56258037E-02,1.18646582E-01,-9.92297229E-01,3.56258037E-02,1.18646582E-01,-9.92297229E-01,1.00000000E+00,2,2,11024
2,11,24,0,7,1.36862602E+03,1.36612969E+04,-3.76590798E-01,-9.25266672E-01,4.53977670E-02,-3.76590798E-01,-9.25266672E-01,4.53977670E-02,1.00000000E+00,2,2,11024
3,11,24,0,3,6.95374207E+02,4.07128443E+02,-6.23581709E-01,7.78311525E-01,7.33281886E-02,-6.23581709E-01,7.78311525E-01,7.33281886E-02,1.00000000E+00,2,2,11024
3,11,24,0,7,2.75400700E+03,4.07128443E+02,3.41338584E-01,4.52112810E-01,-8.24064305E-01,3.41338584E-01,4.52112810E-01,-8.24064305E-01,1.00000000E+00,2,2,11024
3,11,24,0,7,1.36862602E+03,4.07128443E+02,2.05020220E-02,7.53147422E-01,6.57532226E-01,2.05020220E-02,7.53147422E-01,6.57532226E-01,1.00000000E+00,2,2,11024
4,11,24,0,3,2.23727391E+02,1.24971504E+04,-9.18060251E-01,-3.70471595E-01,-1.41124673E-01,-9.18060251E-01,-3.70471595E-01,-1.41124673E-01,1.00000000E+00,2,2,11024
4,11,24,0,7,2.75400700E+03,1.24971504E+04,-8.29812849E-01,3.87680868E-01,-4.01390309E-01,-8.29812849E-01,3.87680868E-01,-4.01390309E-01,1.00000000E+00,2,2,11024
4,11,24,0,7,1.36862602E+03,1.24971504E+04,5.59236393E-01,-2.53823185E-01,-7.89194810E-01,5.59236393E-01,-2.53823185E-01,-7.89194810E-01,1.00000000E+00,2,2,11024
5,11,24,0,3,1.18024779E+02,1.58449602E+05,9.04240901E-01,-3.27119679E-01,2.74483346E-01,9.04240901E-01,-3.27119679E-01,2.74483346E-01,1.00000000E+00,2,2,11024
5,11,24,0,7,2.75400700E+03,1.58449602E+05,-7.66314843E-01,4.55608953E-01,-4.52970245E-01,-7.66314843E-01,4.55608953E-01,-4.52970245E-01,1.00000000E+00,2,2,11024
5,11,24,0,7,1.36862602E+03,1.58449602E+05,-2.63499370E-01,-7.03932684E-01,6.59580820E-01,-2.63499370E-01,-7.03932684E-01,6.59580820E-01,1.00000000E+00,2,2,11024
6,11,24,0,3,4.77059700E+02,1.10403442E+05,7.31468200E-01,-2.74475838E-01,6.24193309E-01,7.31468200E-01,-2.74475838E-01,6.24193309E-01,1.00000000E+00,2,2,11024
6,11,24,0,7,2.75400700E+03,1.10403442E+05,-2.90738287E-01,5.53957811E-01,7.80129471E-01,-2.90738287E-01,5.53957811E-01,7.80129471E-01,1.00000000E+00,2,2,11024
6,11,24,0,7,1.36862602E+03,1.10403442E+05,-5.27578374E-01,-7.79875940E-01,-3.36830190E-01,-5.27578374E-01,-7.79875940E-01,-3.36830190E-01,1.00000000E+00,2,2,11024
7,11,24,0,3,5.29866937E+02,2.30488372E+04,-1.57112083E-01,-3.88386580E-01,9.08004217E-01,-1.57112083E-01,-3.88386580E-01,9.08004217E-01,1.00000000E+00,2,2,11024
7,11,24,0,7,2.75400700E+03,2.30488372E+04,6.98319243E-01,-6.38805633E-01,-3.22920422E-01,6.98319243E-01,-6.38805633E-01,-3.22920422E-01,1.00000000E+00,2,2,11024
7,11,24,0,7,1.36862602E+03,2.30488372E+04,6.98372322E-01,6.32702472E-01,-3.34609746E-01,6.98372322E-01,6.32702472E-01,-3.34609746E-01,1.00000000E+00,2,2,11024
8,11,24,0,3,5.24356109E+02,7.69980240E+04,-5.12262770E-01,8.54192917E-01,8.91140579E-02,-5.12262770E-01,8.54192917E-01,8.91140579E-02,1.00000000E+00,2,2,11024
8,11,24,0,7,2.75400700E+03,7.69980240E+04,-7.15609038E-01,6.78461097E-01,-1.66115155E-01,-7.15609038E-01,6.78461097E-01,-1.66115155E-01,1.00000000E+00,2,2,11024
8,11,24,0,7,1.36862602E+03,7.69980240E+04,3.14208262E-01,7.74632452E-01,5.48833064E-01,3.14208262E-01,7.74632452E-01,5.48833064E-01,1.00000000E+00,2,2,11024
9,11,24,0,3,9.05141391E+02,1.43799350E+05,-6.00154062E-01,-1.45043661E-02,7.99752915E-01,-6.00154062E-01,-1.45043661E-02,7.99752915E-01,1.00000000E+00,2,2,11024
9,11,24,0,7,2.75400700E+03,1.43799350E+05,-2.53134164E-01,-8.79819579E-01,4.02294175E-01,-2.53134164E-01,-8.79819579E-01,4.02294175E-01,1.00000000E+00,2,2,11024
9,11,24,0,7,1.36862602E+03,1.43799350E+05,-1.58610621E-01,-7.51389218E-01,6.40513008E-01,-1.58610621E-01,-7.51389218E-01,6.40513008E-01,1.00000000E+00,2,2,11024
10,11,24,0,3,7.74826437E+02,4.79797628E+05,-3.69453701E-01,5.40608089E-01,-7.55808744E-01,-3.69453701E-01,5.40608089E-01,-7.55808744E-01,1.00000000E+00,2,2,11024
10,11,24,0,7,2.75400700E+03,4.79797628E+05,-9.88753675E-01,1.28535712E-01,-7.64509024E-02,-9.88753675E-01,1.28535712E-01,-7.64509024E-02,1.00000000E+00,2,2,11024
10,11,24,0,7,1.36862602E+03,4.79797628E+05,7.31620725E-02,-8.68622210E-01,-4.90043639E-01,7.31620725E-02,-8.68622210E-01,-4.90043639E-01,1.00000000E+00,2,2,11024
11,11,24,0,3,1.65312927E+02,2.06796012E+04,-8.33188961E-01,-4.87086874E-01,2.61806288E-01,-8.33188961E-01,-4.87086874E-01,2.61806288E-01,1.00000000E+00,2,2,11024
11,11,24,0,7,2.75400700E+03,2.06796012E+04,-7.43080429E-01,3.07732669E-01,5.94249174E-01,-7.43080429E-01,3.07732669E-01,5.94249174E-01,1.00000000E+00,2,2,11024
11,11,24,0,7,1.36862602E+03,2.06796012E+04,6.61557751E-01,2.08537983E-01,7.20314689E-01,6.61557751E-01,2.08537983E-01,7.20314689E-01,1.00000000E+00,2,2,11024
12,11,24,0,3,2.22882014E+02,2.41277507E+05,-4.25808262E-01,1.38613331E-02,-9.04707238E-01,-4.25808262E-01,1.38613331E-02,-9.04707238E-01,1.00000000E+00,2,2,11024
12,11,24,0,7,2.75400700E+03,2.41277507E+05,-4.83101023E-01,5.75742439E-02,-8.73669622E-01,-4.83101023E-01,5.75742439E-02,-8.73669622E-01,1.00000000E+00,2,2,11024
12,11,24,0,7,1.36862602E+03,2.41277507E+05,7.16445572E-01,6.97474537E-01,-1.53301091E-02,7.16445572E-01,6.97474537E-01,-1.53301091E-02,1.00000000E+00,2,2,11024
13,11,24,0,3,9.52281490E+02,2.71182044E+03,4.74870681E-01,-4.48299159E-01,7.57314796E-01,4.74870681E-01,-4.48299159E-01,7.57314796E-01,1.00000000E+00,2,2,11024
13,11,24,0,7,2.75400700E+03,2.71182044E+03,-1.20779699E-01,4.85771135E-01,8.65701258E-01,-1.20779699E-01,4.85771135E-01,8.65701258E-01,1.00000000E+00,2,2,11024
13,11,24,0,7,1.36862602E+03,2.71182044E+03,-1.37898020E-02,-1.12203009E-01,-9.93589617E-01,-1.37898020E-02,-1.12203009E-01,-9.93589617E-01,1.00000000E+00,2,2,11024
14,11,24,0,3,9.46678260E+02,7.52213992E+04,-4.43403427E-01,-7.81169575E-01,4.39508244E-01,-4.43403427E-01,-7.81169575E-01,4.39508244E-01,1.00000000E+00,2,2,11024
14,11,24,0,7,2.75400700E+03,7.52213992E+04,9.04254901E-02,9.95868285E-01,-8.34208751E-03,9.04254901E-02,9.95868285E-01,-8.34208751E-03,1.00000000E+00,2,2,11024
14,11,24,0,7,1.36862602E+03,7.52213992E+04,3.28049278E-02,4.30521262E-01,-9.01984079E-01,3.28049278E-02,4.30521262E-01,-9.01984079E-01,1.00000000E+00,2,2,11024
15,11,24,0,3,4.31094920E+02,4.28469580E+04,-9.06828401E-01,5.41608322E-02,-4.18005807E-01,-9.06828401E-01,5.41608322E-02,-4.18005807E-01,1.00000000E+00,2,2,11024
