event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
1,13,28,0,3,1.28530328E+03,1.04118500E+02,-8.94102300E-01,5.20935113E-02,4.44822822E-01,-8.94102300E-01,5.20935113E-02,4.44822822E-01,1.00000000E+00,2,2,13028
1,13,28,0,7,1.77884998E+03,1.04118500E+02,-3.03162569E-01,8.80689392E-01,3.63976169E-01,-3.03162569E-01,8.80689392E-01,3.63976169E-01,1.00000000E+00,2,2,13028
2,13,28,0,3,1.94395446E+02,2.17724581E+02,-4.85258772E-01,6.66073665E-01,5.66453702E-01,-4.85258772E-01,6.66073665E-01,5.66453702E-01,1.00000000E+00,2,2,13028
2,13,28,0,7,1.77884998E+03,2.17724581E+02,-7.86528354E-01,-5.58771562E-02,-6.15021049E-01,-7.86528354E-01,-5.58771562E-02,-6.15021049E-01,1.00000000E+00,2,2,13028
3,13,28,0,3,2.08425948E+03,8.06612925E+02,-5.51512227E-02,4.56730030E-01,8.87894150E-01,-5.51512227E-02,4.56730030E-01,8.87894150E-01,1.00000000E+00,2,2,13028
3,13,28,0,7,1.77884998E+03,8.06612925E+02,-3.62434053E-02,6.62747128E-01,7.47965681E-01,-3.62434053E-02,6.62747128E-01,7.47965681E-01,1.00000000E+00,2,2,13028
4,13,28,0,3,1.55939417E+03,4.34505558E+02,9.74491677E-01,2.17414996E-01,5.56479139E-02,9.74491677E-01,2.17414996E-01,5.56479139E-02,1.00000000E+00,2,2,13028
4,13,28,0,7,1.77884998E+03,4.34505558E+02,8.23242502E-01,-1.64504319E-01,-5.43332414E-01,8.23242502E-01,-1.64504319E-01,-5.43332414E-01,1.00000000E+00,2,2,13028
5,13,28,0,3,1.44877483E+03,1.42879540E+02,-5.24192273E-01,-5.67778884E-01,6.34704340E-01,-5.24192273E-01,-5.67778884E-01,6.34704340E-01,1.00000000E+00,2,2,13028
5,13,28,0,7,1.77884998E+03,1.42879540E+02,-5.92279556E-02,-4.77927896E-01,-8.76400009E-01,-5.92279556E-02,-4.77927896E-01,-8.76400009E-01,1.00000000E+00,2,2,13028
6,13,28,0,3,5.44569095E+02,7.06102024E+02,-5.17000177E-01,6.67927866E-01,5.35334646E-01,-5.17000177E-01,6.67927866E-01,5.35334646E-01,1.00000000E+00,2,2,13028
6,13,28,0,7,1.77884998E+03,7.06102024E+02,3.57374758E-01,-9.11169040E-01,2.05071359E-01,3.57374758E-01,-9.11169040E-01,2.05071359E-01,1.00000000E+00,2,2,13028
7,13,28,0,3,1.19755437E+03,1.41495283E+02,-2.61107826E-01,9.65178195E-01,-1.59297058E-02,-2.61107826E-01,9.65178195E-01,-1.59297058E-02,1.00000000E+00,2,2,13028
7,13,28,0,7,1.77884998E+03,1.41495283E+02,3.29108590E-01,3.66759208E-01,-8.70158158E-01,3.29108590E-01,3.66759208E-01,-8.70158158E-01,1.00000000E+00,2,2,13028
8,13,28,0,3,1.25772318E+02,3.73457722E+02,-8.71655033E-01,-1.17576619E-01,-4.75807990E-01,-8.71655033E-01,-1.17576619E-01,-4.75807990E-01,1.00000000E+00,2,2,13028
8,13,28,0,7,1.77884998E+03,3.73457722E+02,8.25123878E-01,-4.80516256E-01,2.97110607E-01,8.25123878E-01,-4.80516256E-01,2.97110607E-01,1.00000000E+00,2,2,13028
9,13,28,0,3,1.71566079E+03,2.88793767E+02,3.59763495E-03,9.89225222E-01,1.46357495E-01,3.59763495E-03,9.89225222E-01,1.46357495E-01,1.00000000E+00,2,2,13028
9,13,28,0,7,1.77884998E+03,2.88793767E+02,-9.31530838E-01,-5.29670148E-03,3.63623765E-01,-9.31530838E-01,-5.29670148E-03,3.63623765E-01,1.00000000E+00,2,2,13028
10,13,28,0,3,1.99615914E+03,3.45141961E+02,2.00615148E-01,-3.57112108E-01,-9.12263397E-01,2.00615148E-01,-3.57112108E-01,-9.12263397E-01,1.00000000E+00,2,2,13028
10,13,28,0,7,1.77884998E+03,3.45141961E+02,6.22142319E-01,3.66936898E-02,-7.82043802E-01,6.22142319E-01,3.66936898E-02,-7.82043802E-01,1.00000000E+00,2,2,13028
11,13,28,0,3,1.14237657E+03,1.64466096E+01,9.42046124E-01,-1.07809362E-01,3.17688908E-01,9.42046124E-01,-1.07809362E-01,3.17688908E-01,1.00000000E+00,2,2,13028
11,13,28,0,7,1.77884998E+03,1.64466096E+01,-8.01636439E-01,-1.67656473E-01,-5.73820814E-01,-8.01636439E-01,-1.67656473E-01,-5.73820814E-01,1.00000000E+00,2,2,13028
12,13,28,0,3,2.16443806E+03,3.69541594E+02,9.00031493E-01,-1.19578020E-01,4.19099520E-01,9.00031493E-01,-1.19578020E-01,4.19099520E-01,1.00000000E+00,2,2,13028
12,13,28,0,7,1.77884998E+03,3.69541594E+02,4.84188796E-01,-8.43565020E-01,2.32291340E-01,4.84188796E-01,-8.43565020E-01,2.32291340E-01,1.00000000E+00,2,2,13028
13,13,28,0,3,8.28670886E+02,1.64441667E+02,5.98388168E-01,-6.60044956E-01,4.54172055E-01,5.98388168E-01,-6.60044956E-01,4.54172055E-01,1.00000000E+00,2,2,13028
13,13,28,0,7,1.77884998E+03,1.64441667E+02,-1.47684623E-01,-5.80054673E-01,8.01077916E-01,-1.47684623E-01,-5.80054673E-01,8.01077916E-01,1.00000000E+00,2,2,13028
14,13,28,0,3,2.10509799E+03,1.04904514E+01,-5.95808098E-01,7.86324631E-01,1.63420577E-01,-5.95808098E-01,7.86324631E-01,1.63420577E-01,1.00000000E+00,2,2,13028
