event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
1,29,64,0,3,8.39999984E-01,1.96085906E+05,-2.71978082E-01,4.16054967E-01,8.67713194E-01,-2.71978082E-01,4.16054967E-01,8.67713194E-01,1.00000000E+00,2,2,29064
2,29,64,0,3,2.15396247E+02,1.19563040E+04,7.47610941E-01,6.29925251E-01,-2.10409266E-01,7.47610941E-01,6.29925251E-01,-2.10409266E-01,1.00000000E+00,2,2,29064
3,29,64,0,4,2.93159519E+02,1.39532279E+05,-5.08994239E-01,8.54127992E-01,1.06725055E-01,-5.08994239E-01,8.54127992E-01,1.06725055E-01,1.00000000E+00,2,2,29064
3,29,64,0,7,8.26500036E+00,1.39532279E+05,5.56098393E-01,4.11995052E-01,7.21813449E-01,5.56098393E-01,4.11995052E-01,7.21813449E-01,1.00000000E+00,2,2,29064
3,29,64,0,7,7.47800004E+00,1.39532279E+05,3.18160105E-01,3.95364839E-01,8.61661645E-01,3.18160105E-01,3.95364839E-01,8.61661645E-01,1.00000000E+00,2,2,29064
3,29,64,0,7,7.46100022E+00,1.39532279E+05,4.19845689E-01,8.43015275E-01,3.36236291E-01,4.19845689E-01,8.43015275E-01,3.36236291E-01,1.00000000E+00,2,2,29064
3,29,64,0,3,8.39999984E-01,1.39532279E+05,6.20205660E-01,4.14018900E-01,6.66283191E-01,6.20205660E-01,4.14018900E-01,6.66283191E-01,1.00000000E+00,2,2,29064
4,29,64,0,3,3.27512418E+01,9.64802905E+04,7.06456035E-03,-5.90085055E-02,-9.98232482E-01,7.06456035E-03,-5.90085055E-02,-9.98232482E-01,1.00000000E+00,2,2,29064
4,29,64,0,3,6.53999996E+00,9.64802905E+04,-4.55234024E-01,8.75587272E-01,-1.61582526E-01,-4.55234024E-01,8.75587272E-01,-1.61582526E-01,1.00000000E+00,2,2,29064
5,29,64,0,4,2.92887408E+02,2.60305833E+04,-8.06150059E-02,8.15213583E-01,5.73522480E-01,-8.06150059E-02,8.15213583E-01,5.73522480E-01,1.00000000E+00,2,2,29064
5,29,64,0,3,8.39999984E-01,2.60305833E+04,-4.02782872E-01,8.82264811E-01,-2.43669369E-01,-4.02782872E-01,8.82264811E-01,-2.43669369E-01,1.00000000E+00,2,2,29064
6,29,64,0,3,8.39999984E-01,8.59521456E+04,-6.76190701E-01,1.97850175E-01,-7.09662909E-01,-6.76190701E-01,1.97850175E-01,-7.09662909E-01,1.00000000E+00,2,2,29064
