nuclide,particle_code,particle,multiplicity,events,fraction
I-128,3,ELECTRON,0,1425,0.07125
I-128,3,ELECTRON,1,17449,0.87245
I-128,3,ELECTRON,2,984,0.0492
I-128,3,ELECTRON,3,142,0.0071
I-128,7,PHOTON,0,17435,0.87175
I-128,7,PHOTON,1,2013,0.10065
I-128,7,PHOTON,2,241,0.01205
I-128,7,PHOTON,3,55,0.00275
I-128,7,PHOTON,4,145,0.00725
I-128,7,PHOTON,5,4,0.0002
I-128,7,PHOTON,6,42,0.0021
I-128,7,PHOTON,7,6,0.0003
I-128,7,PHOTON,8,32,0.0016
I-128,7,PHOTON,9,4,0.0002
I-128,7,PHOTON,10,23,0.00115
