nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
Cu-64,1,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.7709,0.56345,-0.29707,152.981
Cu-64,1,3,1,4,0.0,0.0,0.0,0.0,29064,12,-0.81816,0.30956,-0.48455,499.404
Cu-64,1,4,1,4,0.0,0.0,0.0,0.0,29064,28064,0.15005,-0.72215,0.67527,0.002
Cu-64,2,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.72069,-0.58272,0.37555,1666.059
Cu-64,2,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.72069,0.58272,-0.37555,0.023
Cu-64,2,4,1,4,0.0,0.0,0.0,0.0,29064,3,0.13046,-0.20602,-0.96981,6.551
Cu-64,2,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.78095,0.34312,-0.52191,0.727
Cu-64,2,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.95296,0.29111,-0.08442,1.027
Cu-64,3,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.36528,-0.55625,-0.74643,143.783
Cu-64,3,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.27868,0.27889,-0.919,435.909
Cu-64,3,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.03928,0.14854,0.98813,0.004
Cu-64,4,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.3454,0.92869,-0.13502,1666.059
Cu-64,4,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.3454,-0.92869,0.13502,0.023
Cu-64,4,4,1,4,0.0,0.0,0.0,0.0,29064,3,0.96217,-0.10506,0.25137,6.411
Cu-64,4,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.6898,0.66195,-0.29326,1.89
Cu-64,5,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.70303,0.43559,0.56215,291.349
Cu-64,5,3,1,4,0.0,0.0,0.0,0.0,29064,13,0.33441,0.87463,0.35098,288.341
Cu-64,5,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.61108,-0.59997,-0.51635,0.006
Cu-64,6,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.71738,-0.33352,-0.61166,1666.059
Cu-64,6,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.71738,0.33352,0.61166,0.023
Cu-64,6,4,1,4,0.0,0.0,0.0,0.0,29064,1,0.8139,0.39937,-0.42198,7.436
Cu-64,6,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.6206,0.16688,0.76617,0.775
Cu-64,6,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.55347,0.51612,0.65368,0.093
Cu-64,7,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.28437,0.77826,-0.55985,114.01
Cu-64,7,3,1,4,0.0,0.0,0.0,0.0,29064,13,0.60076,0.773,-0.20384,465.682
Cu-64,7,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.24394,-0.88001,0.40753,0.004
Cu-64,8,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.93834,0.31461,0.14334,251.404
Cu-64,8,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.81986,-0.22437,-0.52676,400.977
Cu-64,8,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.98371,-0.10074,0.14889,0.006
Cu-64,9,2,1,4,0.0,0.0,0.0,0.0,29064,2,-0.95401,0.10763,0.2798,217.831
Cu-64,9,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.5247,-0.66683,0.52918,434.554
Cu-64,9,4,1,4,0.0,0.0,0.0,0.0,29064,28064,0.51794,0.45231,-0.72605,0.002
Cu-64,10,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.99691,-0.0407,0.06723,228.161
Cu-64,10,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.07422,0.12033,-0.98995,424.222
Cu-64,10,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.82576,-0.04292,0.56239,0.004
Cu-64,11,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.518,-0.81586,0.257,13.093
Cu-64,11,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.98615,0.10179,-0.13097,566.6
Cu-64,11,4,1,4,0.0,0.0,0.0,0.0,29064,30064,0.99565,0.06,0.07123,0.003
Cu-64,12,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.9758,0.20753,-0.06886,1666.059
Cu-64,12,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.9758,-0.20753,0.06886,0.023
Cu-64,12,4,1,4,0.0,0.0,0.0,0.0,29064,1,0.26408,-0.90134,0.34328,7.418
Cu-64,12,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.92413,-0.08639,0.37218,0.685
Cu-64,12,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.13744,-0.94942,0.28233,0.199
Cu-64,13,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.56903,0.16232,-0.80614,1666.059
Cu-64,13,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.56903,-0.16232,0.80614,0.023
