nuclide,particle_code,particle,multiplicity,events,fraction
Cu-64,1,PHOTON,0,16868,0.8434
Cu-64,1,PHOTON,1,3076,0.1538
Cu-64,1,PHOTON,2,56,0.0028
Cu-64,2,POSITRON,0,16466,0.8233
Cu-64,2,POSITRON,1,3534,0.1767
Cu-64,3,ELECTRON,0,3534,0.1767
Cu-64,3,ELECTRON,1,8346,0.4173
Cu-64,3,ELECTRON,2,4035,0.20175
Cu-64,3,ELECTRON,3,3493,0.17465
Cu-64,3,ELECTRON,4,592,0.0296
Cu-64,12,NEUTRINO_OR_ANTINEUTRINO,0,7702,0.3851
Cu-64,12,NEUTRINO_OR_ANTINEUTRINO,1,12298,0.6149
Cu-64,13,NEUTRINO_OR_ANTINEUTRINO,0,12298,0.6149
Cu-64,13,NEUTRINO_OR_ANTINEUTRINO,1,7702,0.3851
Cu-64,28064,ION_ZA_28064,0,7702,0.3851
Cu-64,28064,ION_ZA_28064,1,12212,0.6106
Cu-64,28064,ION_ZA_28064,2,86,0.0043
Cu-64,30064,ION_ZA_30064,0,12298,0.6149
Cu-64,30064,ION_ZA_30064,1,7702,0.3851
