nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
I-128,1,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.45834,-0.88662,0.06191,743.913
I-128,1,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.95764,-0.03178,0.2862,934.732
I-128,1,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.79083,0.5823,-0.18844,0.014
I-128,1,6,4,4,0.0,0.0,0.0,-0.0,54128,1,-0.79513,0.55394,-0.24682,442.91
I-128,1,7,4,4,0.0,0.0,0.0,-0.0,54128,54128,0.79513,-0.55394,0.24682,0.001
I-128,2,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.68092,0.59001,-0.43386,383.863
I-128,2,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.70555,0.56043,0.43372,1737.696
I-128,2,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.44201,-0.85701,-0.26488,0.011
I-128,3,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.9662,-0.18479,0.17973,194.845
I-128,3,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.06369,-0.28372,0.95679,1926.708
I-128,3,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.16859,0.30863,-0.93612,0.018
I-128,4,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.94608,-0.06148,-0.31804,408.099
I-128,4,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.37245,-0.90616,0.20039,1713.461
I-128,4,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.0527,0.99665,-0.06255,0.011
I-128,5,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.81732,0.30513,0.48876,1178.957
I-128,5,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.00627,0.33878,-0.94084,942.603
I-128,5,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.85077,-0.52163,0.06402,0.01
I-128,6,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.51024,0.75521,0.41149,212.972
I-128,6,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.25525,-0.09174,0.96251,1908.58
I-128,6,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.10887,-0.10245,-0.98876,0.018
I-128,7,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.62776,0.75458,0.19111,1318.652
I-128,7,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.49073,0.36318,-0.79201,802.905
I-128,7,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.39576,-0.90293,0.16758,0.013
I-128,8,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.06792,0.98754,0.14192,275.31
I-128,8,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.8475,-0.31666,-0.426,1846.249
I-128,8,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.90835,-0.00331,0.41819,0.012
I-128,9,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.58916,0.04889,-0.80654,1117.061
I-128,9,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.68308,-0.71633,-0.1424,1004.488
I-128,9,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.72167,0.29103,0.62808,0.021
I-128,10,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.67573,-0.4951,0.54614,149.082
I-128,10,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.32929,-0.93702,-0.11642,1972.469
I-128,10,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.17588,0.98441,0.00069,0.018
I-128,11,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.74799,-0.16074,-0.64395,1124.695
I-128,11,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.40002,0.40797,-0.8207,553.947
I-128,11,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.68906,0.01183,0.7246,0.017
I-128,11,8,4,4,0.0,-0.0,0.0,0.0,54128,1,-0.13827,-0.9708,0.19603,442.91
I-128,11,9,4,4,0.0,-0.0,0.0,0.0,54128,54128,0.13827,0.9708,-0.19603,0.001
I-128,12,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.66146,-0.69799,-0.27437,1150.103
I-128,12,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.7751,0.62283,0.10629,971.452
I-128,12,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.94895,0.26285,0.17434,0.015
I-128,13,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.80047,-0.36528,-0.4752,1187.297
I-128,13,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.32679,-0.94309,-0.06164,934.25
I-128,13,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.68809,0.63265,0.35536,0.023
I-128,14,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.52344,-0.73842,-0.42513,1456.344
I-128,14,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.56784,-0.22194,0.79265,665.207
I-128,14,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.65674,0.74208,0.1342,0.018
I-128,15,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.60467,-0.51996,-0.60333,296.927
I-128,15,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.72507,0.65914,-0.19954,1824.625
I-128,15,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.82877,-0.42734,0.36127,0.018
I-128,16,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.22039,-0.97536,0.01035,941.589
I-128,16,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.28398,0.95199,0.11434,1179.98
I-128,16,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.13933,0.79819,-0.58607,0.0
I-128,17,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.47566,0.35162,0.8063,153.072
I-128,17,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.68526,-0.70739,0.17325,1968.479
I-128,17,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.73783,0.59161,-0.32498,0.019
I-128,18,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.67636,0.33709,0.65491,833.208
I-128,18,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.82925,0.1398,0.54111,1288.335
I-128,18,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.76136,-0.23895,-0.60269,0.026
I-128,19,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.01996,0.51713,-0.85567,1211.076
I-128,19,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.10171,0.00707,-0.99479,910.469
I-128,19,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.05079,-0.34695,0.93651,0.026
I-128,20,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.35244,0.56053,-0.74939,235.714
I-128,20,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.06767,-0.09845,0.99284,916.38
I-128,20,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.23147,-0.38312,-0.89423,0.001
I-128,20,7,4,4,0.0,0.0,-0.0,-0.0,54128,1,-0.99752,-0.03422,-0.06155,526.563
I-128,20,8,4,4,0.0,0.0,-0.0,-0.0,54128,54128,0.99752,0.03422,0.06155,0.001
I-128,20,9,8,4,0.0,0.0,-0.0,-0.0,54128,1,-0.78429,0.11686,0.60929,442.91
I-128,20,10,8,4,0.0,0.0,-0.0,-0.0,54128,54128,0.78429,-0.11686,-0.60929,0.001
I-128,21,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.93982,0.10822,0.32408,1362.409
I-128,21,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.98101,0.18153,-0.06839,759.156
I-128,21,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.8341,-0.29251,-0.46768,0.005
I-128,22,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.09675,-0.83065,-0.54833,344.472
I-128,22,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.57917,0.52046,-0.62743,1777.084
I-128,22,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.53191,-0.19612,0.82378,0.014
I-128,23,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.88038,0.01452,-0.47404,1073.472
I-128,23,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.94648,-0.21605,0.2398,1048.074
I-128,23,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.97714,0.08648,0.19423,0.024
I-128,24,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.02839,0.95896,0.28212,815.051
I-128,24,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.42203,0.89159,0.16421,1306.494
I-128,24,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.21008,-0.95082,-0.22761,0.025
I-128,25,2,1,4,0.0,0.0,0.0,0.0,53128,12,0.81889,-0.57311,-0.03089,1223.229
I-128,25,3,1,4,0.0,0.0,0.0,0.0,53128,52128,-0.81889,0.57311,0.03089,0.006
I-128,25,4,1,4,0.0,0.0,0.0,0.0,53128,1,-0.28041,0.95779,0.06331,31.674
I-128,25,5,1,4,0.0,0.0,0.0,0.0,53128,3,0.03443,0.92662,0.37443,0.131
I-128,26,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.31394,-0.70807,-0.63252,150.579
I-128,26,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.49279,-0.87013,-0.00589,1970.97
I-128,26,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.38185,0.91557,0.1262,0.02
I-128,27,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.13795,0.78686,0.60152,361.637
I-128,27,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.24301,-0.96733,-0.07226,1317.019
I-128,27,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.27112,0.87431,-0.40259,0.003
I-128,27,6,4,4,0.0,0.0,0.0,-0.0,54128,1,0.83354,-0.54399,0.09637,442.91
I-128,27,7,4,4,0.0,0.0,0.0,-0.0,54128,54128,-0.83354,0.54399,-0.09637,0.001
I-128,28,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.52865,0.68724,-0.49823,1262.14
I-128,28,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.50548,0.85819,-0.08948,859.41
I-128,28,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.21381,-0.8791,0.42599,0.02
I-128,29,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.99352,-0.00688,-0.11341,1448.23
I-128,29,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.83817,-0.48493,0.24962,673.332
I-128,29,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.96767,0.24989,0.03418,0.008
I-128,30,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.89976,-0.3322,0.28299,582.054
I-128,30,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.29121,-0.95243,0.08988,1539.495
I-128,30,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.58348,0.79139,-0.18235,0.021
I-128,31,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.67734,0.19952,0.7081,822.586
I-128,31,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.29347,0.23804,-0.92586,1298.982
I-128,31,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.57432,-0.70339,0.41881,0.003
I-128,32,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.0215,-0.99224,0.12247,364.894
I-128,32,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.05534,-0.63851,-0.76762,1756.656
I-128,32,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.0506,0.82195,0.5673,0.021
I-128,33,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.7902,0.13658,0.59744,621.943
I-128,33,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.33428,0.73491,-0.59005,1499.62
I-128,33,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.22797,-0.94964,0.21497,0.007
I-128,34,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.97573,-0.20819,-0.06791,1616.519
I-128,34,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.52631,-0.11409,-0.8426,505.027
I-128,34,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.95035,0.20315,0.23574,0.024
I-128,35,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.26629,0.17707,0.94749,779.111
I-128,35,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.86063,-0.50885,0.01955,1342.444
I-128,35,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.76394,0.24586,-0.59661,0.016
I-128,36,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.37901,-0.17693,0.90832,1736.8
I-128,36,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.7328,-0.07163,0.67666,384.747
I-128,36,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.23294,0.17644,-0.95635,0.023
I-128,37,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.53638,-0.79392,0.28634,335.951
I-128,37,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.12487,0.69784,0.70528,1785.608
I-128,37,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.08585,-0.43739,-0.89517,0.011
I-128,38,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.46338,0.03102,-0.88562,203.416
I-128,38,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.48099,0.15683,0.86259,1918.142
I-128,38,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.67744,-0.1857,-0.71175,0.012
I-128,39,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.97538,-0.05619,-0.21325,576.241
I-128,39,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.93581,-0.12612,-0.32917,1545.302
I-128,39,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.95321,0.09956,0.28543,0.026
I-128,40,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.89594,0.27441,0.34927,131.823
I-128,40,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.63045,0.31014,-0.71158,1989.728
I-128,40,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.73713,-0.3328,0.58812,0.02
I-128,41,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.82193,-0.50489,0.26366,1309.547
I-128,41,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.13537,-0.7385,0.66052,812.002
I-128,41,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.59617,0.66612,-0.44818,0.021
I-128,42,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.3175,-0.14292,0.93743,701.705
I-128,42,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.32384,-0.10058,0.94075,1419.838
I-128,42,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.32114,0.11909,-0.93951,0.027
I-128,43,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.78245,0.44087,0.43978,1074.861
I-128,43,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.49301,0.86985,-0.01712,1046.695
I-128,43,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.36155,-0.86311,-0.35258,0.014
I-128,44,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.07161,-0.00066,0.99743,1312.103
I-128,44,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.8502,0.1926,0.48996,809.445
I-128,44,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.35422,-0.06738,-0.93273,0.022
I-128,45,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.56286,0.67534,0.47655,1652.963
I-128,45,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.10075,0.62688,0.77258,468.581
I-128,45,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.4605,-0.69452,-0.55279,0.026
I-128,46,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.54018,-0.69737,-0.47105,634.167
I-128,46,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.0443,-0.42559,-0.90383,1487.381
I-128,46,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.21002,0.58037,0.78681,0.023
I-128,47,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.55409,0.8323,0.01582,920.569
I-128,47,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.46579,0.23507,0.8531,1200.981
I-128,47,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.59782,-0.64147,-0.48075,0.02
I-128,48,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.64981,-0.61241,-0.45021,706.144
I-128,48,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.95512,0.02411,0.29523,1415.422
I-128,48,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.69977,0.70896,0.0877,0.003
I-128,49,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.41044,-0.46234,0.78599,1704.35
I-128,49,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.51871,-0.53169,-0.66952,417.203
I-128,49,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.33699,0.61436,-0.71344,0.017
I-128,50,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.3061,-0.54623,-0.7797,1139.637
I-128,50,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.32569,-0.56754,-0.7562,539.004
I-128,50,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.31115,0.55175,0.7738,0.019
I-128,50,12,4,4,0.0,-0.0,0.0,0.0,54128,1,0.3706,-0.88919,0.26834,442.91
I-128,50,13,4,4,0.0,-0.0,0.0,0.0,54128,54128,-0.3706,0.88919,-0.26834,0.001
I-128,51,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.2213,-0.83667,-0.50102,748.885
I-128,51,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.09004,-0.61746,0.78144,1372.67
I-128,51,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.06973,0.96218,-0.26334,0.015
I-128,52,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.68565,0.29605,0.66501,525.754
I-128,52,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.50267,-0.00341,-0.86447,1595.805
I-128,52,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.86546,-0.15937,0.47495,0.011
I-128,53,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.5086,-0.194,-0.83886,1301.126
I-128,53,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.74516,-0.36575,-0.55764,820.417
I-128,53,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.59521,0.25365,0.76249,0.027
I-128,54,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.71767,0.35195,-0.6009,550.734
I-128,54,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.91033,0.22374,-0.34819,1570.826
I-128,54,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.5063,-0.45113,0.73494,0.01
I-128,55,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.99651,0.0483,0.06807,616.703
I-128,55,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.07514,-0.32861,0.94147,1504.853
I-128,55,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.49722,0.24951,-0.83097,0.013
I-128,56,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.6481,-0.75307,0.11339,669.981
I-128,56,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.0493,-0.9891,0.13874,1451.566
I-128,56,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.26389,0.95471,-0.13744,0.023
I-128,57,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.31753,-0.65822,0.68259,1276.497
I-128,57,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.67527,-0.55761,-0.48278,845.06
I-128,57,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.01511,0.90277,-0.42986,0.013
I-128,58,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.78323,0.57838,-0.22809,1262.029
I-128,58,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.6107,-0.27832,0.74134,859.524
I-128,58,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.92114,-0.36889,-0.12414,0.017
I-128,59,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.78533,-0.6185,0.0268,340.528
I-128,59,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.28579,-0.16122,-0.94463,1781.023
I-128,59,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.49989,0.33923,0.79689,0.018
I-128,60,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.01477,-0.52542,0.85072,344.721
I-128,60,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.95989,0.09343,-0.26435,1776.837
I-128,60,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.99146,0.11247,-0.066,0.013
I-128,61,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.28273,-0.85759,-0.42966,1395.168
I-128,61,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.16003,-0.17008,0.97235,726.389
I-128,61,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.23059,0.9719,0.04734,0.013
I-128,62,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.46325,0.74318,0.48279,617.485
I-128,62,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.60122,0.53339,-0.595,1504.066
I-128,62,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.64978,-0.73495,0.194,0.019
I-128,63,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.58138,-0.77449,-0.24932,230.503
I-128,63,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.39978,0.62577,-0.66977,1448.146
I-128,63,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.59379,-0.32648,0.73541,0.009
I-128,63,7,4,4,0.0,-0.0,-0.0,0.0,54128,1,-0.64867,-0.75642,-0.08397,442.91
I-128,63,8,4,4,0.0,-0.0,-0.0,0.0,54128,54128,0.64867,0.75642,0.08397,0.001
I-128,64,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.76854,-0.63764,0.05255,287.041
I-128,64,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.46029,-0.52608,0.7151,1834.513
I-128,64,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.1919,0.69701,-0.6909,0.016
I-128,65,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.50162,-0.17566,-0.84706,529.529
