nuclide,particle_code,particle,multiplicity,events,fraction
I-128,1,PHOTON,0,16197,0.80985
I-128,1,PHOTON,1,3488,0.1744
I-128,1,PHOTON,2,312,0.0156
I-128,1,PHOTON,3,3,0.00015
I-128,2,POSITRON,0,19998,0.9999
I-128,2,POSITRON,1,2,0.0001
I-128,3,ELECTRON,0,2,0.0001
I-128,3,ELECTRON,1,18666,0.9333
I-128,3,ELECTRON,2,218,0.0109
I-128,3,ELECTRON,3,630,0.0315
I-128,3,ELECTRON,4,372,0.0186
I-128,3,ELECTRON,5,90,0.0045
I-128,3,ELECTRON,6,21,0.00105
I-128,3,ELECTRON,7,1,5e-05
I-128,12,NEUTRINO_OR_ANTINEUTRINO,0,18611,0.93055
I-128,12,NEUTRINO_OR_ANTINEUTRINO,1,1389,0.06945
I-128,13,NEUTRINO_OR_ANTINEUTRINO,0,1389,0.06945
I-128,13,NEUTRINO_OR_ANTINEUTRINO,1,18611,0.93055
I-128,52128,ION_ZA_52128,0,18611,0.93055
I-128,52128,ION_ZA_52128,1,1371,0.06855
I-128,52128,ION_ZA_52128,2,18,0.0009
I-128,54128,ION_ZA_54128,0,1389,0.06945
I-128,54128,ION_ZA_54128,1,15900,0.795
I-128,54128,ION_ZA_54128,2,2467,0.12335
I-128,54128,ION_ZA_54128,3,243,0.01215
I-128,54128,ION_ZA_54128,4,1,5e-05
