nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
Na-24,1,2,1,4,0.0,0.0,0.0,0.0,11024,3,0.91079,0.40538,0.07828,877.434
Na-24,1,3,1,4,0.0,0.0,0.0,0.0,11024,13,0.70731,0.19136,-0.68051,515.225
Na-24,1,4,1,4,0.0,0.0,0.0,0.0,11024,12024,-0.91697,-0.37026,0.14858,0.063
Na-24,1,10,4,4,0.0,-0.0,-0.0,0.0,12024,1,0.14607,0.94087,-0.30567,2754.047
Na-24,1,11,4,4,0.0,-0.0,-0.0,0.0,12024,12024,-0.14607,-0.94087,0.30567,0.17
Na-24,1,12,11,4,0.0,-0.0,-0.0,0.0,12024,1,0.49735,0.8572,-0.13361,1368.63
Na-24,1,13,11,4,0.0,-0.0,-0.0,0.0,12024,12024,-0.49735,-0.8572,0.13361,0.042
Na-24,2,2,1,4,0.0,0.0,0.0,0.0,11024,3,0.70483,0.11535,0.69993,315.674
Na-24,2,3,1,4,0.0,0.0,0.0,0.0,11024,13,-0.85778,0.50161,0.11225,1077.027
Na-24,2,4,1,4,0.0,0.0,0.0,0.0,11024,12024,0.48385,-0.63899,-0.59799,0.021
Na-24,2,6,4,4,0.0,0.0,-0.0,-0.0,12024,1,0.18337,-0.94106,-0.28423,2754.047
Na-24,2,7,4,4,0.0,0.0,-0.0,-0.0,12024,12024,-0.18337,0.94106,0.28423,0.17
Na-24,2,8,7,4,0.0,-0.0,0.0,0.0,12024,1,0.43011,-0.8133,-0.39184,1368.63
Na-24,2,9,7,4,0.0,-0.0,0.0,0.0,12024,12024,-0.43011,0.8133,0.39184,0.042
Na-24,3,2,1,4,0.0,0.0,0.0,0.0,11024,3,-0.11015,-0.85576,-0.50551,685.588
Na-24,3,3,1,4,0.0,0.0,0.0,0.0,11024,13,-0.69857,-0.67755,0.23005,707.078
Na-24,3,4,1,4,0.0,0.0,0.0,0.0,11024,12024,0.38796,0.88902,0.24317,0.056
Na-24,3,6,4,4,0.0,0.0,0.0,0.0,12024,1,-0.06521,0.66472,-0.74424,2754.047
Na-24,3,7,4,4,0.0,0.0,0.0,0.0,12024,12024,0.06521,-0.66472,0.74424,0.17
Na-24,3,8,7,4,0.0,0.0,-0.0,0.0,12024,1,-0.66594,-0.18839,-0.72183,1368.63
Na-24,3,9,7,4,0.0,0.0,-0.0,0.0,12024,12024,0.66594,0.18839,0.72183,0.042
Na-24,4,2,1,4,0.0,0.0,0.0,0.0,11024,3,0.4049,-0.91105,0.07778,1063.053
Na-24,4,3,1,4,0.0,0.0,0.0,0.0,11024,13,-0.00733,0.0124,0.9999,329.615
Na-24,4,4,1,4,0.0,0.0,0.0,0.0,11024,12024,-0.38857,0.87518,-0.28824,0.053
Na-24,4,6,4,4,0.0,-0.0,0.0,-0.0,12024,1,-0.06569,0.09853,-0.99296,2754.047
Na-24,4,7,4,4,0.0,-0.0,0.0,-0.0,12024,12024,0.06569,-0.09853,0.99296,0.17
Na-24,4,8,7,4,0.0,-0.0,0.0,0.0,12024,1,-0.99379,-0.10229,-0.04369,1368.63
