nuclide,particle_code,particle,count,yield_per_parent,mean_kinetic_energy_keV
Cu-64,3,ELECTRON,29263,1.46315,51.92905481324661
Cu-64,28064,ION_ZA_28064,12384,0.6192,0.01748934108526979
Cu-64,12,NEUTRINO_OR_ANTINEUTRINO,12298,0.6149,1303.1915887137764
Cu-64,13,NEUTRINO_OR_ANTINEUTRINO,7702,0.3851,387.92580290833473
Cu-64,30064,ION_ZA_30064,7702,0.3851,0.0034875357050117577
Cu-64,2,POSITRON,3534,0.1767,218.3738155065086
Cu-64,1,PHOTON,3188,0.1594,43.48602195734127
Na-24,12024,ION_ZA_12024,59991,2.99955,0.08381493890752681
Na-24,1,PHOTON,39991,1.99955,2061.599722937763
Na-24,3,ELECTRON,20000,1.0,555.5894606499977
Na-24,13,NEUTRINO_OR_ANTINEUTRINO,20000,1.0,837.4984280999981
Al-28,14028,ION_ZA_14028,40000,2.0,0.08942770000002266
Al-28,1,PHOTON,20000,1.0,1778.9690000001292
Al-28,3,ELECTRON,20000,1.0,1247.7263164499982
Al-28,13,NEUTRINO_OR_ANTINEUTRINO,20000,1.0,1615.3898613500112
I-128,3,ELECTRON,23063,1.15315,644.8680775267804
I-128,54128,ION_ZA_54128,21567,1.07835,0.012530625492650348
I-128,13,NEUTRINO_OR_ANTINEUTRINO,18611,0.93055,1250.3594263607504
I-128,1,PHOTON,4121,0.20605,338.17342853675575
I-128,52128,ION_ZA_52128,1407,0.07035,0.00600426439232414
I-128,12,NEUTRINO_OR_ANTINEUTRINO,1389,0.06945,1215.698730021624
I-128,2,POSITRON,2,0.0001,108.7655
