family,metric,fluka_count,megalib_count,fluka,megalib,fluka_minus_megalib,fluka_over_megalib,relative_delta_vs_megalib,poisson_z_approx
cu64_eplus_smoke,escaped_photon_yield,877.0,864.0,1.712890625,1.6875,0.025390625,1.0150462962962963,0.015046296296296295,0.3115616296212818
cu64_eplus_smoke,escaped_480_550_photon_yield,528.0,538.0,1.03125,1.05078125,-0.01953125,0.9814126394052045,-0.01858736059479554,-0.3062819459158444
cu64_eplus_smoke,escaped_w2_photon_yield,490.0,504.0,0.95703125,0.984375,-0.02734375,0.9722222222222222,-0.027777777777777776,-0.4440530357868858
cu64_eplus_smoke,escaped_primary_particle_yield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono1779_gamma,escaped_photon_yield,252.0,252.0,0.984375,0.984375,0.0,1.0,0.0,0.0
mono1779_gamma,escaped_480_550_photon_yield,8.0,12.0,0.03125,0.046875,-0.015625,0.6666666666666666,-0.3333333333333333,-0.8944271909999159
mono1779_gamma,escaped_w2_photon_yield,5.0,3.0,0.01953125,0.01171875,0.0078125,1.6666666666666667,0.6666666666666666,0.7071067811865475
mono1779_gamma,escaped_primary_particle_yield,252.0,252.0,0.984375,0.984375,0.0,1.0,0.0,0.0
mono2754_gamma,escaped_photon_yield,254.0,266.0,0.9921875,1.0390625,-0.046875,0.9548872180451128,-0.045112781954887216,-0.5262348115842176
mono2754_gamma,escaped_480_550_photon_yield,8.0,16.0,0.03125,0.0625,-0.03125,0.5,-0.5,-1.6329931618554523
mono2754_gamma,escaped_w2_photon_yield,4.0,13.0,0.015625,0.05078125,-0.03515625,0.3076923076923077,-0.6923076923076923,-2.182820625326997
mono2754_gamma,escaped_primary_particle_yield,254.0,266.0,0.9921875,1.0390625,-0.046875,0.9548872180451128,-0.045112781954887216,-0.5262348115842176
mono511_gamma,escaped_photon_yield,439.0,445.0,0.857421875,0.869140625,-0.01171875,0.9865168539325843,-0.01348314606741573,-0.20180183819889375
mono511_gamma,escaped_480_550_photon_yield,248.0,266.0,0.484375,0.51953125,-0.03515625,0.9323308270676691,-0.06766917293233082,-0.7939459645042156
mono511_gamma,escaped_w2_photon_yield,231.0,245.0,0.451171875,0.478515625,-0.02734375,0.9428571428571428,-0.05714285714285714,-0.641688947919748
mono511_gamma,escaped_primary_particle_yield,439.0,445.0,0.857421875,0.869140625,-0.01171875,0.9865168539325843,-0.01348314606741573,-0.20180183819889375
pair511_gamma,escaped_photon_yield,435.0,448.0,0.849609375,0.875,-0.025390625,0.9709821428571429,-0.029017857142857144,-0.437484832288442
pair511_gamma,escaped_480_550_photon_yield,253.0,274.0,0.494140625,0.53515625,-0.041015625,0.9233576642335767,-0.07664233576642336,-0.9147743679249674
pair511_gamma,escaped_w2_photon_yield,236.0,263.0,0.4609375,0.513671875,-0.052734375,0.8973384030418251,-0.10266159695817491,-1.2086859987967822
pair511_gamma,escaped_primary_particle_yield,435.0,448.0,0.849609375,0.875,-0.025390625,0.9709821428571429,-0.029017857142857144,-0.437484832288442
