event_id,detector,x_cm,y_cm,z_cm,deposit_keV,time_s
64,3,0.0,0.0,3.03582,229.47639,0.0
78,3,0.0,0.0,2.97777,295.68351,0.0
149,3,0.0,0.0,3.03149,191.89744,0.0
218,3,0.0,0.0,3.04898,213.89863,0.0
297,3,0.0,0.0,2.99038,390.74223,0.0
298,3,0.0,0.0,3.02707,55.92831,0.0
376,3,0.0,0.0,3.01558,103.92956,0.0
482,3,0.0,0.0,2.99392,216.58577,0.0
535,3,0.0,0.0,3.03216,118.35088,0.0
549,3,0.0,0.0,2.98131,330.00478,0.0
710,3,0.0,0.0,2.95073,230.91167,0.0
732,3,0.0,0.0,3.00813,511.0,0.0
740,3,0.0,0.0,2.97035,511.0,0.0
780,3,0.0,0.0,2.96754,128.48075,0.0
783,3,0.0,0.0,2.95973,120.31794,0.0
810,3,0.0,0.0,2.9594,40.27114,0.0
817,3,0.0,0.0,3.0033,178.5119,0.0
833,3,0.0,0.0,3.0158,237.58829,0.0
843,3,0.0,0.0,2.98101,511.0,0.0
896,3,0.0,0.0,2.99456,305.09204,0.0
922,3,0.0,0.0,2.97773,120.23999,0.0
936,3,0.0,0.0,2.99827,511.0,0.0
972,3,0.0,0.0,3.02634,511.0,0.0
980,3,0.0,0.0,3.02146,342.33842,0.0
994,3,0.0,0.0,2.99647,511.0,0.0
1006,3,0.0,0.0,3.03942,167.43231,0.0
1013,3,0.0,0.0,2.95712,138.31789,0.0
1023,3,0.0,0.0,3.00495,220.40374,0.0
1065,3,0.0,0.0,2.99227,511.0,0.0
1125,3,0.0,0.0,3.04538,138.58357,0.0
1162,3,0.0,0.0,3.03554,511.0,0.0
1284,3,0.0,0.0,3.00349,202.68361,0.0
1340,3,0.0,0.0,2.96537,108.68484,0.0
1347,3,0.0,0.0,2.95635,155.98053,0.0
1377,3,0.0,0.0,2.96609,169.21627,0.0
1386,3,0.0,0.0,2.96244,107.64985,0.0
1391,3,0.0,0.0,2.95242,94.25515,0.0
1395,3,0.0,0.0,2.98771,511.0,0.0
1488,3,0.0,0.0,2.96867,491.44057,0.0
1497,3,0.0,0.0,2.9877,511.0,0.0
1517,3,0.0,0.0,3.00824,9.75542,0.0
1539,3,0.0,0.0,3.01621,175.93571,0.0
1543,3,0.0,0.0,2.96886,205.4061,0.0
1612,3,0.0,0.0,2.96496,248.09492,0.0
1627,3,0.0,0.0,2.97636,195.9376,0.0
1712,3,0.0,0.0,2.96031,377.15097,0.0
1741,3,0.0,0.0,2.97043,511.0,0.0
1754,3,0.0,0.0,2.95106,221.63071,0.0
1769,3,0.0,0.0,2.96215,210.39486,0.0
1771,3,0.0,0.0,2.99066,511.0,0.0
1825,3,0.0,0.0,2.97981,30.03282,0.0
1858,3,0.0,0.0,3.01273,511.0,0.0
1920,3,0.0,0.0,2.98658,164.26473,0.0
1926,3,0.0,0.0,2.96133,238.27603,0.0
2028,3,0.0,0.0,2.96033,401.54271,0.0
2035,3,0.0,0.0,2.99648,480.37319,0.0
2046,3,0.0,0.0,3.00289,170.09938,0.0
2127,3,0.0,0.0,3.00539,291.73997,0.0
2143,3,0.0,0.0,2.983,238.81129,0.0
2162,3,0.0,0.0,2.97257,121.83721,0.0
2181,3,0.0,0.0,3.03198,204.07142,0.0
2238,3,0.0,0.0,3.03842,428.79535,0.0
2276,3,0.0,0.0,2.96541,511.0,0.0
2284,3,0.0,0.0,3.00901,362.5423,0.0
2293,3,0.0,0.0,2.98159,160.9333,0.0
2332,3,0.0,0.0,2.98529,138.36078,0.0
2353,3,0.0,0.0,2.98146,167.71814,0.0
2421,3,0.0,0.0,2.98018,308.83212,0.0
2433,3,0.0,0.0,3.00943,511.0,0.0
2441,3,0.0,0.0,3.03477,86.53208,0.0
2459,3,0.0,0.0,2.97209,179.89858,0.0
2545,3,0.0,0.0,2.95549,33.00614,0.0
2548,3,0.0,0.0,2.95072,269.27629,0.0
2551,3,0.0,0.0,2.95171,217.39595,0.0
2557,3,0.0,0.0,2.95544,321.73928,0.0
2563,3,0.0,0.0,2.96732,355.38829,0.0
2571,3,0.0,0.0,3.00895,511.0,0.0
2575,3,0.0,0.0,3.00468,56.35306,0.0
2576,3,0.0,0.0,3.00856,218.44945,0.0
2592,3,0.0,0.0,3.04357,454.598,0.0
2595,3,0.0,0.0,2.95486,247.05711,0.0
2621,3,0.0,0.0,2.99944,303.52817,0.0
2659,3,0.0,0.0,3.02559,108.53767,0.0
2801,3,0.0,0.0,2.99642,249.29672,0.0
2804,3,0.0,0.0,3.00571,377.23987,0.0
2843,3,0.0,0.0,2.96235,35.39587,0.0
2930,3,0.0,0.0,2.97232,458.66745,0.0
3016,3,0.0,0.0,3.03169,511.0,0.0
3092,3,0.0,0.0,2.99536,511.0,0.0
3100,3,0.0,0.0,2.98884,334.65208,0.0
3140,3,0.0,0.0,2.95314,13.24403,0.0
3174,3,0.0,0.0,3.0352,511.0,0.0
3182,3,0.0,0.0,3.01661,17.36688,0.0
3185,3,0.0,0.0,2.97433,159.47182,0.0
3193,3,0.0,0.0,2.96728,343.34963,0.0
3210,3,0.0,0.0,2.98867,511.0,0.0
3249,3,0.0,0.0,3.049,15.13878,0.0
3254,3,0.0,0.0,3.00278,103.74327,0.0
3320,3,0.0,0.0,2.9649,192.41878,0.0
3322,3,0.0,0.0,3.0465,245.98662,0.0
3366,3,0.0,0.0,3.04168,505.14007,0.0
3368,3,0.0,0.0,3.03908,208.67075,0.0
3373,3,0.0,0.0,2.96011,511.0,0.0
3397,3,0.0,0.0,3.03725,244.66797,0.0
3427,3,0.0,0.0,2.95642,126.25113,0.0
3523,3,0.0,0.0,2.95337,371.98482,0.0
3549,3,0.0,0.0,2.95821,68.95178,0.0
3554,3,0.0,0.0,2.95648,270.37877,0.0
3588,3,0.0,0.0,2.96225,113.86205,0.0
3595,3,0.0,0.0,2.95543,65.79635,0.0
3619,3,0.0,0.0,2.98784,398.1376,0.0
3636,3,0.0,0.0,3.00979,300.70024,0.0
3667,3,0.0,0.0,3.02106,194.05472,0.0
3694,3,0.0,0.0,2.95168,67.83175,0.0
3720,3,0.0,0.0,3.007,377.69923,0.0
3730,3,0.0,0.0,2.99607,511.0,0.0
3805,3,0.0,0.0,3.00624,308.79004,0.0
3871,3,0.0,0.0,2.97215,79.46665,0.0
3889,3,0.0,0.0,2.98593,511.0,0.0
3904,3,0.0,0.0,3.01814,511.0,0.0
3986,3,0.0,0.0,3.01766,442.22986,0.0
4014,3,0.0,0.0,2.95506,196.22876,0.0
4071,3,0.0,0.0,3.0365,208.13982,0.0
4118,3,0.0,0.0,3.02972,419.40539,0.0
4131,3,0.0,0.0,3.01231,484.60886,0.0
4148,3,0.0,0.0,2.95968,445.6191,0.0
4166,3,0.0,0.0,3.00839,511.0,0.0
4173,3,0.0,0.0,3.03846,97.76151,0.0
4277,3,0.0,0.0,2.96926,244.07019,0.0
4278,3,0.0,0.0,2.99539,314.84262,0.0
4290,3,0.0,0.0,2.98535,155.45174,0.0
4326,3,0.0,0.0,2.99969,260.73014,0.0
4327,3,0.0,0.0,2.98366,260.51534,0.0
4355,3,0.0,0.0,2.9608,247.62815,0.0
4395,3,0.0,0.0,2.99866,511.0,0.0
4445,3,0.0,0.0,3.01428,21.38098,0.0
4511,3,0.0,0.0,2.98279,297.95783,0.0
4568,3,0.0,0.0,2.98928,511.0,0.0
