code,family,particle,histories,events_with_ta_deposit,ta_deposit_efficiency,events_480_550_keV,eff_480_550,events_w2_510p58_511p42,eff_w2_510p58_511p42,mean_ta_deposit_keV_all,mean_ta_deposit_keV_nonzero
FLUKA,cu64_eplus_smoke,eplus,512,35,0.068359375,10,0.01953125,9,0.017578125,22.20295664558594,324.7975372154286
FLUKA,mono1779_gamma,gamma,256,6,0.0234375,1,0.00390625,0,0.0,7.37250378984375,314.56016170000004
FLUKA,mono2754_gamma,gamma,256,3,0.01171875,0,0.0,0,0.0,6.90333148828125,589.084287
FLUKA,mono511_gamma,gamma,512,10,0.01953125,1,0.001953125,1,0.001953125,4.496442048828125,230.2178329
FLUKA,pair511_gamma,gamma,512,16,0.03125,3,0.005859375,3,0.005859375,8.927101813671875,285.6672580375
MEGAlib,cu64_eplus_smoke,eplus,512,24,0.046875,4,0.0078125,4,0.0078125,12.047536328125,257.01410833333335
MEGAlib,mono1779_gamma,gamma,256,3,0.01171875,0,0.0,0,0.0,7.2779426953124995,621.05111
MEGAlib,mono2754_gamma,gamma,256,6,0.0234375,0,0.0,0,0.0,12.481890390624999,532.5606566666667
MEGAlib,mono511_gamma,gamma,512,13,0.025390625,1,0.001953125,1,0.001953125,6.37370296875,251.02584
MEGAlib,pair511_gamma,gamma,512,17,0.033203125,2,0.00390625,2,0.00390625,9.63543447265625,290.1966147058824
