event_id,detector,x_cm,y_cm,z_cm,deposit_keV,time_s
1,3,0.0,0.0,2.98422,511.0,0.0
37,3,0.0,0.0,2.9813,137.73463,0.0
43,3,0.0,0.0,3.03204,276.96922,0.0
48,3,0.0,0.0,2.97911,280.29408,0.0
52,3,0.0,0.0,3.02218,215.39915,0.0
64,3,0.0,0.0,2.98788,295.68351,0.0
71,3,0.0,0.0,3.02918,155.52005,0.0
116,3,0.0,0.0,2.9523,175.7849,0.0
123,3,0.0,0.0,2.97408,273.93525,0.0
148,3,0.0,0.0,2.96325,410.8468,0.0
279,3,0.0,0.0,2.96828,103.59479,0.0
370,3,0.0,0.0,2.95642,320.17314,0.0
371,3,0.0,0.0,2.95537,106.4004,0.0
618,3,0.0,0.0,3.04699,14.93663,0.0
639,3,0.0,0.0,2.98857,511.0,0.0
701,3,0.0,0.0,2.96109,257.39699,0.0
711,3,0.0,0.0,2.98612,213.84168,0.0
745,3,0.0,0.0,2.98469,150.28655,0.0
748,3,0.0,0.0,2.96198,171.76447,0.0
795,3,0.0,0.0,2.95528,293.01135,0.0
800,3,0.0,0.0,3.00237,347.93231,0.0
811,3,0.0,0.0,3.03912,453.3142,0.0
831,3,0.0,0.0,2.98455,272.48071,0.0
875,3,0.0,0.0,2.99503,305.09204,0.0
907,3,0.0,0.0,2.96863,247.87161,0.0
926,3,0.0,0.0,2.96541,441.72496,0.0
940,3,0.0,0.0,2.96093,107.74872,0.0
973,3,0.0,0.0,3.01472,342.33842,0.0
993,3,0.0,0.0,2.96621,291.60181,0.0
1010,3,0.0,0.0,2.9833,511.0,0.0
1048,3,0.0,0.0,3.01819,674.8879,0.0
1093,3,0.0,0.0,2.98501,617.95197,0.0
1154,3,0.0,0.0,3.0035,570.31346,0.0
1291,3,0.0,0.0,2.95732,120.67818,0.0
1371,3,0.0,0.0,3.00211,314.21475,0.0
1419,3,0.0,0.0,2.96635,797.11994,0.0
1433,3,0.0,0.0,3.03469,381.55843,0.0
1439,3,0.0,0.0,2.96153,154.62258,0.0
1491,3,0.0,0.0,2.9936,1427.17006,0.0
1542,3,0.0,0.0,3.0296,27.93027,0.0
1557,3,0.0,0.0,2.96097,238.27532,0.0
1559,3,0.0,0.0,2.96272,140.82038,0.0
1576,3,0.0,0.0,3.03407,510.99891,0.0
1577,3,0.0,0.0,2.95972,130.09377,0.0
1579,3,0.0,0.0,2.98852,58.40992,0.0
1583,3,0.0,0.0,3.0376,234.32952,0.0
1606,3,0.0,0.0,3.03194,180.11008,0.0
1628,3,0.0,0.0,2.97051,510.99891,0.0
1649,3,0.0,0.0,3.02822,76.25718,0.0
1659,3,0.0,0.0,2.9742,229.42024,0.0
1691,3,0.0,0.0,3.03467,386.13696,0.0
1754,3,0.0,0.0,2.9562,215.87543,0.0
1757,3,0.0,0.0,2.9703,510.99891,0.0
1773,3,0.0,0.0,2.99267,200.23668,0.0
1809,3,0.0,0.0,3.01061,394.60626,0.0
1826,3,0.0,0.0,3.01928,420.24221,0.0
1831,3,0.0,0.0,3.00191,244.13972,0.0
1892,3,0.0,0.0,3.0372,60.12492,0.0
1910,3,0.0,0.0,2.97503,313.52532,0.0
1916,3,0.0,0.0,2.96159,510.99891,0.0
1928,3,0.0,0.0,2.95114,170.09023,0.0
1948,3,0.0,0.0,2.97607,287.55525,0.0
1964,3,0.0,0.0,3.04202,116.1633,0.0
