code,event_id,family,primary_particle,ta_deposit_keV
FLUKA,105,mono511_gamma,gamma,302.810038
FLUKA,114,mono511_gamma,gamma,445.6191
FLUKA,116,mono511_gamma,gamma,95.3826267
FLUKA,156,mono511_gamma,gamma,50.7125837
FLUKA,196,mono511_gamma,gamma,215.04286
FLUKA,219,mono511_gamma,gamma,77.8378466
FLUKA,353,mono511_gamma,gamma,218.134903
FLUKA,423,mono511_gamma,gamma,225.157574
FLUKA,466,mono511_gamma,gamma,160.480797
FLUKA,506,mono511_gamma,gamma,511.0
FLUKA,533,pair511_gamma,gamma,246.30046
FLUKA,556,pair511_gamma,gamma,313.770068
FLUKA,639,pair511_gamma,gamma,342.783575
FLUKA,664,pair511_gamma,gamma,235.985423
FLUKA,677,pair511_gamma,gamma,215.174998
FLUKA,681,pair511_gamma,gamma,200.482951
FLUKA,694,pair511_gamma,gamma,266.636003
FLUKA,795,pair511_gamma,gamma,511.0
FLUKA,879,pair511_gamma,gamma,146.438251
FLUKA,904,pair511_gamma,gamma,363.264996
FLUKA,911,pair511_gamma,gamma,511.0
FLUKA,957,pair511_gamma,gamma,252.18815
FLUKA,993,pair511_gamma,gamma,82.1485416
FLUKA,1010,pair511_gamma,gamma,511.0
FLUKA,1014,pair511_gamma,gamma,142.378404
FLUKA,1020,pair511_gamma,gamma,230.124308
FLUKA,1048,mono1779_gamma,gamma,777.653086
FLUKA,1058,mono1779_gamma,gamma,66.3181902
FLUKA,1138,mono1779_gamma,gamma,121.183129
FLUKA,1141,mono1779_gamma,gamma,265.601239
FLUKA,1271,mono1779_gamma,gamma,130.50416
FLUKA,1275,mono1779_gamma,gamma,526.101166
FLUKA,1461,mono2754_gamma,gamma,200.671926
FLUKA,1470,mono2754_gamma,gamma,159.622785
FLUKA,1503,mono2754_gamma,gamma,1406.95815
FLUKA,1576,cu64_eplus_smoke,eplus,472.837292
FLUKA,1589,cu64_eplus_smoke,eplus,510.99906
FLUKA,1591,cu64_eplus_smoke,eplus,510.99906
FLUKA,1613,cu64_eplus_smoke,eplus,217.908203
FLUKA,1619,cu64_eplus_smoke,eplus,178.938281
FLUKA,1631,cu64_eplus_smoke,eplus,296.998336
FLUKA,1649,cu64_eplus_smoke,eplus,142.415768
FLUKA,1687,cu64_eplus_smoke,eplus,5.98834224
FLUKA,1689,cu64_eplus_smoke,eplus,138.901789
FLUKA,1692,cu64_eplus_smoke,eplus,504.700254
FLUKA,1710,cu64_eplus_smoke,eplus,116.623751
FLUKA,1721,cu64_eplus_smoke,eplus,240.871944
FLUKA,1731,cu64_eplus_smoke,eplus,510.99906
FLUKA,1739,cu64_eplus_smoke,eplus,331.813933
FLUKA,1792,cu64_eplus_smoke,eplus,510.99906
FLUKA,1826,cu64_eplus_smoke,eplus,222.475984
FLUKA,1856,cu64_eplus_smoke,eplus,453.31326
FLUKA,1874,cu64_eplus_smoke,eplus,272.409929
FLUKA,1875,cu64_eplus_smoke,eplus,510.99906
FLUKA,1882,cu64_eplus_smoke,eplus,475.190282
FLUKA,1890,cu64_eplus_smoke,eplus,149.714813
FLUKA,1892,cu64_eplus_smoke,eplus,510.99906
FLUKA,1903,cu64_eplus_smoke,eplus,445.89546
FLUKA,1931,cu64_eplus_smoke,eplus,383.875809
FLUKA,1944,cu64_eplus_smoke,eplus,170.557684
FLUKA,1946,cu64_eplus_smoke,eplus,510.99906
FLUKA,1948,cu64_eplus_smoke,eplus,325.389838
FLUKA,1960,cu64_eplus_smoke,eplus,298.044733
FLUKA,1963,cu64_eplus_smoke,eplus,510.99906
FLUKA,1975,cu64_eplus_smoke,eplus,56.8020593
FLUKA,1976,cu64_eplus_smoke,eplus,510.99906
FLUKA,1981,cu64_eplus_smoke,eplus,257.139148
FLUKA,2009,cu64_eplus_smoke,eplus,109.092277
FLUKA,2011,cu64_eplus_smoke,eplus,261.517352
FLUKA,2043,cu64_eplus_smoke,eplus,239.505741
MEGAlib,1,mono511_gamma,gamma,511.0
MEGAlib,37,mono511_gamma,gamma,137.73463
MEGAlib,43,mono511_gamma,gamma,276.96922
MEGAlib,48,mono511_gamma,gamma,280.29408
MEGAlib,52,mono511_gamma,gamma,215.39915
MEGAlib,64,mono511_gamma,gamma,295.68351
MEGAlib,71,mono511_gamma,gamma,155.52005
MEGAlib,116,mono511_gamma,gamma,175.7849
MEGAlib,123,mono511_gamma,gamma,273.93525
MEGAlib,148,mono511_gamma,gamma,410.8468
MEGAlib,279,mono511_gamma,gamma,103.59479
MEGAlib,370,mono511_gamma,gamma,320.17314
MEGAlib,371,mono511_gamma,gamma,106.4004
MEGAlib,618,pair511_gamma,gamma,14.93663
MEGAlib,639,pair511_gamma,gamma,511.0
MEGAlib,701,pair511_gamma,gamma,257.39699
MEGAlib,711,pair511_gamma,gamma,213.84168
MEGAlib,745,pair511_gamma,gamma,150.28655
MEGAlib,748,pair511_gamma,gamma,171.76447
MEGAlib,795,pair511_gamma,gamma,293.01135
MEGAlib,800,pair511_gamma,gamma,347.93231
MEGAlib,811,pair511_gamma,gamma,453.3142
MEGAlib,831,pair511_gamma,gamma,272.48071
MEGAlib,875,pair511_gamma,gamma,305.09204
MEGAlib,907,pair511_gamma,gamma,247.87161
MEGAlib,926,pair511_gamma,gamma,441.72496
MEGAlib,940,pair511_gamma,gamma,107.74872
MEGAlib,973,pair511_gamma,gamma,342.33842
MEGAlib,993,pair511_gamma,gamma,291.60181
MEGAlib,1010,pair511_gamma,gamma,511.0
MEGAlib,1048,mono1779_gamma,gamma,674.8879
MEGAlib,1093,mono1779_gamma,gamma,617.95197
MEGAlib,1154,mono1779_gamma,gamma,570.31346
MEGAlib,1291,mono2754_gamma,gamma,120.67818
MEGAlib,1371,mono2754_gamma,gamma,314.21475
MEGAlib,1419,mono2754_gamma,gamma,797.11994
MEGAlib,1433,mono2754_gamma,gamma,381.55843
MEGAlib,1439,mono2754_gamma,gamma,154.62258
MEGAlib,1491,mono2754_gamma,gamma,1427.17006
MEGAlib,1542,cu64_eplus_smoke,eplus,27.93027
MEGAlib,1557,cu64_eplus_smoke,eplus,238.27532
MEGAlib,1559,cu64_eplus_smoke,eplus,140.82038
MEGAlib,1576,cu64_eplus_smoke,eplus,510.99891
MEGAlib,1577,cu64_eplus_smoke,eplus,130.09377
MEGAlib,1579,cu64_eplus_smoke,eplus,58.40992
MEGAlib,1583,cu64_eplus_smoke,eplus,234.32952
