source_volume,rows,activity_weight_Bq,activity_fraction
ColdPlate_4K,2711,1.8401688967658895710996982167468999999999999999999999999999999999999999999999923,0.39136667351115603542250747257208020931067939116759672020202725726887290858593176
ColdPlate_Still_0p7K,1314,0.89191668111207599723777941972400000000000000000000000000000000000000000000000082,0.18969262286164634544625702300569046687167573640421135842903797429277458646993196
ColdPlate_CP_100mK_intercept,665,0.45138858196186340088099253016190000000000000000000000000000000000000000000000075,0.096001213852603865320007995677118369696800959894005832759798417534130769597307009
ColdPlate_MXC_50mK_SD_anchor,584,0.39640762262525436513350587930000000000000000000000000000000000000000000000000090,0.084307876789990559572202344170524141487777913390408830899745128307228526688602528
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,217,0.14729529813301403635953899959999999999999999999999999999999999999999999999999990,0.031326728190801286690356008007080467196171509279302706734254245019517633556554865
DR_Still_Pot_Cu,198,0.13439823989680554383074039726190000000000000000000000000000000000000000000000004,0.028583784981155934977168107451968508709838178828392564946817467253573014179432967
Cu_50mK_StillLike_Can_bottom_cap_2mm,187,0.12693189286116877787665342370000000000000000000000000000000000000000000000000018,0.026995844109123689452057942401329396598044662072959104032007532477448168100157573
Cu_50mK_StillLike_Can_side_wall_above_side_port,182,0.12353799198252790146283916100000000000000000000000000000000000000000000000000010,0.026274030095510756579008264789736896989623465971894719921632824090616096166299180
DR_Capillary_CuNi_4K_60K,124,0.084168741790293735062593714090000000000000000000000000000000000000000000000000004,0.017900987537600735251632004582462601836884708046272890253288308434558782134104301
Cu_50mK_StillLike_Can_side_wall_below_side_port,122,0.082811181438837384497068009030000000000000000000000000000000000000000000000000028,0.017612261932155562102412133542079197130342918232516650073138527598420817770344483
DR_4K_Condenser_Cu,122,0.082811181438837384497068009030000000000000000000000000000000000000000000000000028,0.017612261932155562102412133542079197130342918232516650073138527598420817770344483
DR_Capillary_CuNi_Still_4K,116,0.078738500384468332800490893819999999999999999999999999999999999999999999999999975,0.016746085115820042654752520414548590305477515851243659336689031312114628064389711
DR_MixingChamber_Cu,99,0.067199237397089352993522400759999999999999999999999999999999999999999999999999975,0.014291917469536070886383616560655662457805580867641834145415637908454769947972395
DR_Continuous_HEX_CuNi_CP_to_Still,96,0.065162896869904827145233843169999999999999999999999999999999999999999999999999973,0.013858829061368311162553810000080555397992896147007473875190966654247823402332659
DR_Continuous_HEX_CuNi_MXC_to_CP,64,0.04344193124660321809682256211000000,0.0092392193742455407750358733326781044091908159935600636727939606830660715332578554
Cu_SubstrateSupport_SolidDisk_L0_deepest,33,0.022399745799029784331174133579999999999999999999999999999999999999999999999999995,0.0047639724898453569621278721854673557736596307469907735604718451299533018460629567
PreCool_FlexLink_Cu_remote_interface,23,0.015611944041748031503545608260000000000000000000000000000000000000000000000000003,0.0033203444626194912160285169792967371041239930515400591957228384306686156174803143
DR_Capillary_CuNi_CP_Still,21,0.014254383690291680938019903189999999999999999999999999999999999999999999999999999,0.0030316188571743180668086459367865348291688589244490622835730063352332190488287265
DR_Capillary_CuNi_MXC_CP,12,0.0081453621087381033931542303950000000000000000000000000000000000000000000000000003,0.0017323536326710388953192262497442197286974439792090896428988644243687988996801127
Cu_ColdFinger_Stem_YP_ZM_to_MXC,3,0.002036340527184525848288557599,0.00043308840816775972382980656248922487138469460263564132902471738757463553004232225
Cu_SubstrateSupport_OpenRing_L1_YP_panel,3,0.002036340527184525848288557599,0.00043308840816775972382980656248922487138469460263564132902471738757463553004232225
Cu_SubstrateSupport_OpenRing_L3_ZP_panel,3,0.002036340527184525848288557599,0.00043308840816775972382980656248922487138469460263564132902471738757463553004232225
Cu_SubstrateSupport_OpenRing_L5_YP_panel,3,0.002036340527184525848288557599,0.00043308840816775972382980656248922487138469460263564132902471738757463553004232225
Cu_SubstrateSupport_OpenRing_L2_YM_panel,2,0.001357560351456350565525705066,0.00028872560544517314921987104165948324758979640175709421934981159171642368669488150
Cu_SubstrateSupport_OpenRing_L4_YP_panel,2,0.001357560351456350565525705066,0.00028872560544517314921987104165948324758979640175709421934981159171642368669488150
Cu_SubstrateSupport_OpenRing_L4_ZM_panel,2,0.001357560351456350565525705066,0.00028872560544517314921987104165948324758979640175709421934981159171642368669488150
Cu_SubstrateSupport_OpenRing_L5_ZP_panel,2,0.001357560351456350565525705066,0.00028872560544517314921987104165948324758979640175709421934981159171642368669488150
Cu_SubstrateSupport_OpenRing_L2_ZP_panel,2,0.0013573254540831884092213007949,0.00028867564752896635362074536955183020287946588753080712373593639129323610382374739
Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_ColdFinger_Stem_YM_ZM_to_MXC,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
