common_event_id,source_event_id,production_tag,x_cm,y_cm,z_cm,geometry_local_x_cm,geometry_local_y_cm,geometry_local_z_cm,coordinate_transform_policy,source_volume,expected_material,expected_fluka_region_name,expected_shape_type,expected_depth,expected_contains_static,resolved_static_volume,resolved_static_logical,resolved_static_material,resolved_static_fluka_region_name,resolved_static_depth,containing_volume_count,deepest_volume_count,expected_min_boundary_margin_cm_approx,same_material_as_expected,audit_status,audit_note,original_activity_weight_Bq
1,153,muminus,10.47543,7.475009,17.97492,-5.302940234,7.475009,20.11743541,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.1825645879,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.0006753252346540412812810649609
2,4699,n,17.0042,8.949003,11.53956,3.864084001,8.949003,20.18348626,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.1165137434,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
3,4700,n,16.70052,9.288542,11.27405,3.837093735,9.288542,19.78100815,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.08100814778,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
4,4701,n,19.95725,-5.395792,8.16506,8.338337514,-5.395792,19.8854761,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.1854761036,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
5,4702,n,16.25033,6.388564,12.22213,2.848367536,6.388564,20.13306954,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.1669304569,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
6,4703,n,11.44449,-1.962863,16.49001,-3.567721407,-1.962863,19.75267438,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.05267437906,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
7,4704,n,11.28395,8.951373,17.26312,-4.227911653,8.951373,20.18582678,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.11417322,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
8,4705,n,15.13345,-7.269784,13.49291,1.160036959,-7.269784,20.24189328,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.05810672331,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
9,4706,n,19.66914,-3.508203,8.948042,7.580961098,-3.508203,20.23540345,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.06459654935,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
10,4707,n,10.52657,-8.763941,17.5598,-4.973244627,-8.763941,19.86006269,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_4K,Copper,R0000004,PCON,2,True,ColdPlate_4K,ColdPlate_4K,Copper,R0000004,2,1,1,0.1600626859,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
