code,run_id,seed,history_id,stream,primary_tag,primary_energy_keV,primary_x_cm,primary_y_cm,primary_z_cm,primary_dx,primary_dy,primary_dz,history_weight,volume_id,volume_name,material_name,detector_kind,deposit_keV,deposit_time_s,track_id,parent_track_id,particle,creator_process,interaction_process,x_cm,y_cm,z_cm,tes_total_keV,shield_total_keV,fluka_region_name,fluka_particle_code,fluka_icode
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,4,delayed,Cu-64,0.0,1.934984,0.7403839,-8.800187,0.0,0.0,1.0,1.0,R0000952,TP_L2_00061,Ta,TES_PIXEL,4.72783765,75395.9647,NOT_AVAILABLE,NOT_AVAILABLE,ELECTRON,NOT_AVAILABLE,MGDRAW_EMFSCO_CONTINUOUS,-0.749997247,-0.966897117,-5.73276616,4.72783765,0.0,R0000952,3,2
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,10,delayed,Cu-64,0.0,7.413049,-0.1567328,-0.06565099,0.0,0.0,1.0,1.0,R0000012,CsI_Bottom_Quadrant_03,CsI,ACTIVE_SHIELD,491.454142,276102.449,NOT_AVAILABLE,NOT_AVAILABLE,EM_BELOW_THRESHOLD,NOT_AVAILABLE,ENDRAW_EM_LOCAL_DEPOSITION,-13.4042432,4.43923774,-15.0445209,0.0,1812.48089,R0000012,211,20
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,10,delayed,Cu-64,0.0,7.413049,-0.1567328,-0.06565099,0.0,0.0,1.0,1.0,R0000016,CsI_Side_Segment_03_above_side_port,CsI,ACTIVE_SHIELD,510.99906,276102.449,NOT_AVAILABLE,NOT_AVAILABLE,EM_BELOW_THRESHOLD,NOT_AVAILABLE,ENDRAW_EM_LOCAL_DEPOSITION,11.0554169,-8.88004034,0.540571084,0.0,1812.48089,R0000016,211,20
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,10,delayed,Cu-64,0.0,7.413049,-0.1567328,-0.06565099,0.0,0.0,1.0,1.0,R0000024,CsI_Side_Segment_07,CsI,ACTIVE_SHIELD,721.33463,276102.449,NOT_AVAILABLE,NOT_AVAILABLE,ELECTRON,NOT_AVAILABLE,MGDRAW_EMFSCO_CONTINUOUS,-13.9230688,1.46577203,-7.06904229,0.0,1812.48089,R0000024,3,2
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,10,delayed,Cu-64,0.0,7.413049,-0.1567328,-0.06565099,0.0,0.0,1.0,1.0,R0000030,CsI_TopAnnulus_Segment_05,CsI,ACTIVE_SHIELD,88.6930618,276102.449,NOT_AVAILABLE,NOT_AVAILABLE,EM_BELOW_THRESHOLD,NOT_AVAILABLE,ENDRAW_EM_LOCAL_DEPOSITION,5.28792883,12.8916316,4.97684407,0.0,1812.48089,R0000030,211,20
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,13,delayed,Cu-64,0.0,9.059837,8.171135,6.475985,0.0,0.0,1.0,1.0,R0000029,CsI_TopAnnulus_Segment_04,CsI,ACTIVE_SHIELD,170.96396,112975.02,NOT_AVAILABLE,NOT_AVAILABLE,EM_BELOW_THRESHOLD,NOT_AVAILABLE,ENDRAW_EM_LOCAL_DEPOSITION,13.9391708,1.20110249,3.26041723,0.0,170.96396,R0000029,211,20
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,36,delayed,Cu-64,0.0,4.808685,7.147072,10.79047,0.0,0.0,1.0,1.0,R0000017,CsI_Side_Segment_03_below_side_port,CsI,ACTIVE_SHIELD,273.040793,52852.8551,NOT_AVAILABLE,NOT_AVAILABLE,EM_BELOW_THRESHOLD,NOT_AVAILABLE,ENDRAW_EM_LOCAL_DEPOSITION,16.789537,-2.14478733,-7.14718126,0.0,273.040793,R0000017,211,20
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,49,delayed,Cu-64,0.0,6.458764,-3.290818,9.33623,0.0,0.0,1.0,1.0,R0000019,CsI_Side_Segment_04_above_side_port,CsI,ACTIVE_SHIELD,5.73239342,108343.727,NOT_AVAILABLE,NOT_AVAILABLE,EM_BELOW_THRESHOLD,NOT_AVAILABLE,ENDRAW_EM_LOCAL_DEPOSITION,13.6028712,3.73407557,-2.59022173,0.0,410.936061,R0000019,211,20
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,49,delayed,Cu-64,0.0,6.458764,-3.290818,9.33623,0.0,0.0,1.0,1.0,R0000021,CsI_Side_Segment_04_rectcut_window_band,CsI,ACTIVE_SHIELD,405.203667,108343.727,NOT_AVAILABLE,NOT_AVAILABLE,EM_BELOW_THRESHOLD,NOT_AVAILABLE,ENDRAW_EM_LOCAL_DEPOSITION,14.5388025,3.80571517,-3.43674652,0.0,410.936061,R0000021,211,20
FLUKA,phase3_cu64_common_fluka_seed24066800_n1000,24066800,71,delayed,Cu-64,0.0,-0.5458382,-0.9626219,0.6326622,0.0,0.0,1.0,1.0,R0000011,CsI_Bottom_Quadrant_02,CsI,ACTIVE_SHIELD,276.118847,8478.16293,NOT_AVAILABLE,NOT_AVAILABLE,EM_BELOW_THRESHOLD,NOT_AVAILABLE,ENDRAW_EM_LOCAL_DEPOSITION,11.001555,1.88618555,-14.8656748,0.0,276.118847,R0000011,211,20
