detector_id,detector_type,detector_name,detector_volume,sensitive_volume,detector_kind
1,MDCalorimeter,D1,TES_L0,TES_Pixel_L0,TES_PIXEL
2,MDCalorimeter,D2,TES_L1,TES_Pixel_L1,TES_PIXEL
3,MDCalorimeter,D3,TES_L2,TES_Pixel_L2,TES_PIXEL
4,MDCalorimeter,D4,TES_L3,TES_Pixel_L3,TES_PIXEL
5,MDCalorimeter,D5,TES_L4,TES_Pixel_L4,TES_PIXEL
6,MDCalorimeter,D6,TES_L5,TES_Pixel_L5,TES_PIXEL
7,Scintillator,Si_Substrate_Stack_side_entry_L0_SD,Si_Substrate_Stack_side_entry_L0,Si_Substrate_Stack_side_entry_L0,OTHER
8,Scintillator,Si_Substrate_Stack_side_entry_L1_SD,Si_Substrate_Stack_side_entry_L1,Si_Substrate_Stack_side_entry_L1,OTHER
9,Scintillator,Si_Substrate_Stack_side_entry_L2_SD,Si_Substrate_Stack_side_entry_L2,Si_Substrate_Stack_side_entry_L2,OTHER
10,Scintillator,Si_Substrate_Stack_side_entry_L3_SD,Si_Substrate_Stack_side_entry_L3,Si_Substrate_Stack_side_entry_L3,OTHER
11,Scintillator,Si_Substrate_Stack_side_entry_L4_SD,Si_Substrate_Stack_side_entry_L4,Si_Substrate_Stack_side_entry_L4,OTHER
12,Scintillator,Si_Substrate_Stack_side_entry_L5_SD,Si_Substrate_Stack_side_entry_L5,Si_Substrate_Stack_side_entry_L5,OTHER
13,Scintillator,Cu_SubstrateSupport_OpenRing_L1_ZP_panel_SD,Cu_SubstrateSupport_OpenRing_L1_ZP_panel,Cu_SubstrateSupport_OpenRing_L1_ZP_panel,OTHER
14,Scintillator,Cu_SubstrateSupport_OpenRing_L1_ZM_panel_SD,Cu_SubstrateSupport_OpenRing_L1_ZM_panel,Cu_SubstrateSupport_OpenRing_L1_ZM_panel,OTHER
15,Scintillator,Cu_SubstrateSupport_OpenRing_L1_YP_panel_SD,Cu_SubstrateSupport_OpenRing_L1_YP_panel,Cu_SubstrateSupport_OpenRing_L1_YP_panel,OTHER
16,Scintillator,Cu_SubstrateSupport_OpenRing_L1_YM_panel_SD,Cu_SubstrateSupport_OpenRing_L1_YM_panel,Cu_SubstrateSupport_OpenRing_L1_YM_panel,OTHER
17,Scintillator,Cu_SubstrateSupport_OpenRing_L2_ZP_panel_SD,Cu_SubstrateSupport_OpenRing_L2_ZP_panel,Cu_SubstrateSupport_OpenRing_L2_ZP_panel,OTHER
18,Scintillator,Cu_SubstrateSupport_OpenRing_L2_ZM_panel_SD,Cu_SubstrateSupport_OpenRing_L2_ZM_panel,Cu_SubstrateSupport_OpenRing_L2_ZM_panel,OTHER
19,Scintillator,Cu_SubstrateSupport_OpenRing_L2_YP_panel_SD,Cu_SubstrateSupport_OpenRing_L2_YP_panel,Cu_SubstrateSupport_OpenRing_L2_YP_panel,OTHER
20,Scintillator,Cu_SubstrateSupport_OpenRing_L2_YM_panel_SD,Cu_SubstrateSupport_OpenRing_L2_YM_panel,Cu_SubstrateSupport_OpenRing_L2_YM_panel,OTHER
