history_id,tes_total_keV,shield_total_keV
1,183.24124,0.0
2,192.95865,0.0
3,283.20417,0.0
4,126.15523,0.0
5,8.32536,0.0
6,598.54103,0.0
7,212.24702,0.0
8,8.32566,0.0
9,758.82785,0.0
10,1379.8383000000001,0.0
11,41.29455,0.0
12,372.07783,0.0
13,8.32626,0.0
14,8.32504,0.0
15,129.98674,0.0
16,8.32539,0.0
17,538.91976,0.0
18,191.45657999999997,0.0
19,280.49694,0.0
20,8.32581,0.0
21,1176.11256,0.0
22,273.93094,0.0
23,358.43243,0.0
24,319.33657,0.0
25,1081.83638,0.0
26,1308.94327,0.0
27,8.32671,0.0
28,229.23596,0.0
29,8.32574,0.0
30,72.1965,0.0
31,278.8994,0.0
32,388.72703,0.0
33,156.03666,0.0
34,950.54686,0.0
35,1513.6026800000002,0.0
36,829.02884,0.0
37,71.22203,0.0
38,167.60503,0.0
39,37.80583,0.0
40,672.54395,0.0
41,8.32563,0.0
42,207.79207,0.0
43,1.02975,0.0
44,1.02966,0.0
45,8.32601,0.0
46,8.32331,0.0
47,56.876,0.0
48,84.66091,0.0
49,8.32478,0.0
50,96.00536,0.0
51,131.33801,0.0
52,8.32513,0.0
53,431.0407,0.0
54,8.326,0.0
55,228.8872,0.0
56,323.00835,0.0
57,8.32455,0.0
58,8.32638,0.0
59,216.34471,0.0
60,8.32824,0.0
61,8.3247,0.0
62,345.47183,0.0
63,295.62684,0.0
64,13.03289,0.0
65,1.02927,0.0
66,145.34814,0.0
67,86.81266,0.0
68,8.32623,0.0
69,8.32629,0.0
70,8.32464,0.0
71,93.97892,0.0
72,63.69824,0.0
73,8.32584,0.0
74,8.32524,0.0
75,0.89069,0.0
76,1.92996,0.0
77,8.32472,0.0
78,346.83157,0.0
79,8.32593,0.0
80,8.32558,0.0
81,0.88999,0.0
82,8.32817,0.0
83,32.53511,0.0
84,312.96929,0.0
85,838.21114,0.0
86,273.54234,0.0
87,0.90872,0.0
88,509.05056,0.0
89,89.79038,0.0
90,8.32609,0.0
91,8.32695,0.0
92,896.13394,0.0
93,8.32427,0.0
94,8.32518,0.0
95,8.32595,0.0
96,57.29149,0.0
97,8.32731,0.0
98,1300.4542000000001,0.0
99,1039.65318,0.0
100,426.66105,0.0
101,185.07403,0.0
102,1030.45726,0.0
103,424.25061,0.0
104,0.10387,0.0
105,45.15867,0.0
106,76.31632,0.0
107,155.19102,0.0
108,8.32678,0.0
109,404.39498,0.0
110,65.32006,0.0
111,8.32607,0.0
112,189.50249,0.0
113,8.32868,0.0
114,313.09665,0.0
115,302.77129,0.0
116,651.50169,0.0
117,8.32655,0.0
118,376.49754,0.0
119,0.9083,0.0
120,8.32706,0.0
121,8.32586,0.0
122,8.32654,0.0
123,24.13785,0.0
124,1222.5586700000001,0.0
125,0.14237,0.0
126,850.28961,0.0
127,178.49182,0.0
128,158.70328,0.0
129,241.77306,0.0
130,183.36076,0.0
131,8.32477,0.0
132,8.31874,0.0
133,8.32316,0.0
134,77.3491,0.0
135,8.3229,0.0
136,8.32458,0.0
137,282.82774,0.0
138,8.32556,0.0
139,1.02249,0.0
140,57.58006,0.0
141,199.45386,0.0
142,8.32693,0.0
143,8.32562,0.0
144,8.3258,0.0
145,382.74813,0.0
146,347.20642,0.0
147,908.54258,0.0
148,157.75347,0.0
149,50.03798,0.0
150,8.31914,0.0
151,1.03049,0.0
152,165.60653,0.0
153,301.04526999999996,0.0
154,262.85515,0.0
155,8.32596,0.0
156,546.68821,0.0
157,8.32638,0.0
158,103.08513,0.0
159,8.32358,0.0
160,241.31284,0.0
161,8.32573,0.0
162,8.32608,0.0
163,0.90771,0.0
164,8.3256,0.0
165,132.47637,0.0
166,91.1516,0.0
167,186.00747,0.0
168,8.32629,0.0
169,917.7904,0.0
170,8.32297,0.0
171,8.32524,0.0
172,8.32641,0.0
173,521.83839,0.0
174,62.36634,0.0
175,372.3176,0.0
176,387.88327,0.0
177,135.51712,0.0
178,0.90828,0.0
179,8.32674,0.0
180,471.92142,0.0
181,381.00444,0.0
182,150.67353,0.0
183,8.32539,0.0
184,243.0115,0.0
185,20.28352,0.0
186,1053.6056899999999,0.0
187,342.15151,0.0
188,365.033,0.0
189,277.32299,0.0
190,79.64864,0.0
191,390.7849,0.0
192,8.3284,0.0
193,8.3277,0.0
194,18.84208,0.0
195,8.3263,0.0
196,8.3259,0.0
197,168.47121,0.0
198,8.32522,0.0
199,299.58417,0.0
200,1115.47366,0.0
201,151.84784,0.0
202,227.95027,0.0
203,171.85841,0.0
204,283.65408,0.0
205,8.3234,0.0
206,0.89045,0.0
207,8.32641,0.0
208,131.68196,0.0
209,8.32473,0.0
210,755.94685,0.0
211,8.32696,0.0
212,8.3253,0.0
213,151.54702,0.0
214,8.32512,0.0
215,80.01031,0.0
216,115.97359,0.0
217,1419.46757,0.0
218,246.19167,0.0
219,8.32624,0.0
220,8.32586,0.0
221,8.32585,0.0
222,8.32604,0.0
223,148.54132,0.0
224,8.32543,0.0
225,257.91588,0.0
226,213.31638,0.0
227,8.32505,0.0
228,294.3772,0.0
229,8.32709,0.0
230,240.57573,0.0
231,231.6109,0.0
232,8.32703,0.0
233,31.80746,0.0
234,366.17206,0.0
235,8.32606,0.0
236,8.32416,0.0
237,1.02991,0.0
238,45.1467,0.0
239,135.55849,0.0
240,8.32329,0.0
241,8.32619,0.0
242,208.18,0.0
243,8.32748,0.0
244,8.32651,0.0
245,8.32555,0.0
246,0.10178,0.0
247,23.009369999999997,0.0
248,8.32627,0.0
249,7.14066,0.0
250,8.32504,0.0
251,8.32785,0.0
252,87.09954,0.0
253,234.4705,0.0
254,707.6936,0.0
255,825.45712,0.0
256,8.32821,0.0
257,102.29499,0.0
258,8.32363,0.0
259,8.32784,0.0
260,8.3194,0.0
261,490.18764,0.0
262,8.32521,0.0
263,895.97385,0.0
264,652.84817,0.0
265,374.62852,0.0
266,8.32712,0.0
267,8.32814,0.0
268,1186.8866699999999,0.0
269,8.32631,0.0
270,8.32654,0.0
271,1193.0137,0.0
272,447.22403,0.0
273,8.32761,0.0
274,81.14247,0.0
275,298.5775,0.0
276,8.32602,0.0
277,418.4093,0.0
278,352.50574,0.0
279,0.90863,0.0
280,8.32733,0.0
281,8.32944,0.0
282,8.32455,0.0
283,0.88983,0.0
284,0.89122,0.0
285,8.32359,0.0
286,8.32552,0.0
287,545.1657299999999,0.0
288,8.32448,0.0
289,1454.08152,0.0
290,8.32684,0.0
291,0.89037,0.0
292,8.32674,0.0
293,8.32719,0.0
294,193.39404,0.0
