history_id,parent_resampled_history_id,selected_position_row_index,common_event_id,source_event_id,source_name,production_tag,source_volume,resolved_static_material,nuclide,isotope_Z,isotope_A,za,exc_keV,x_cm,y_cm,z_cm,time_s,history_weight,event_weight_Bq,sampling_probability,selection_u64,A,Z,event_id,isomer,original_activity_weight_Bq,resampled_history_id
1,1,61,61,4758,phase3_cu64_common_parent_000000001,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,21.24014,-2.799425,7.116672,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,161579224287262237,64,29,61,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,1
2,2,3104,3104,9002,phase3_cu64_common_parent_000000002,n,ColdPlate_CP_100mK_intercept,Copper,Cu-64,29,64,29064,0,7.047328,5.029647,-0.1669319,0.0,1.0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8264998822456780125,64,29,3104,0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,2
3,3,3316,3316,9214,phase3_cu64_common_parent_000000003,n,ColdPlate_CP_100mK_intercept,Copper,Cu-64,29,64,29064,0,1.076801,-3.284617,5.679863,0.0,1.0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8829324801232369513,64,29,3316,0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,3
4,4,5853,5853,234309,phase3_cu64_common_parent_000000004,n,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,Cu-64,29,64,29064,0,1.934984,0.7403839,-8.800187,0.0,1.0,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15584761101376641161,64,29,5853,0,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,4
5,5,3540,3540,9665,phase3_cu64_common_parent_000000005,n,ColdPlate_MXC_50mK_SD_anchor,Copper,Cu-64,29,64,29064,0,4.877197,3.639476,-4.878875,0.0,1.0,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9424626213192282362,64,29,3540,0,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,5
6,6,2455,2455,7152,phase3_cu64_common_parent_000000006,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,8.668145,-4.083241,19.37111,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6537347836521304736,64,29,2455,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,6
7,7,863,863,5560,phase3_cu64_common_parent_000000007,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,12.37548,0.2417014,16.03708,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,2296334214059482169,64,29,863,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,7
8,8,2455,2455,7152,phase3_cu64_common_parent_000000008,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,8.668145,-4.083241,19.37111,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6536123982032293952,64,29,2455,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,8
9,9,5826,5826,234282,phase3_cu64_common_parent_000000009,n,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,Cu-64,29,64,29064,0,-2.929404,-7.471265,-2.168243,0.0,1.0,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15514480908242579435,64,29,5826,0,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,9
10,10,2912,2912,8810,phase3_cu64_common_parent_000000010,n,ColdPlate_CP_100mK_intercept,Copper,Cu-64,29,64,29064,0,7.413049,-0.1567328,-0.06565099,0.0,1.0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,7752596307311395989,64,29,2912,0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,10
