history_id,detector_id,detector_name,detector_volume,detector_kind,x_cm,y_cm,z_cm,deposit_keV,time_s,pixel_ids
1,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,183.24124,0.0,2;4
2,4,D4,TES_L3,TES_PIXEL,3.53553,0.0,3.53553,192.09495,0.0,2;4;8;12
2,4,D4,TES_L3,TES_PIXEL,-7.80366,6.36396,-16.80366,0.8637,0.0,9
3,4,D4,TES_L3,TES_PIXEL,3.53553,0.0,3.53553,283.20417,0.0,2;4
4,4,D4,TES_L3,TES_PIXEL,-3.90144,-7.48008,-2.82366,126.15523,0.0,2;4
5,4,D4,TES_L3,TES_PIXEL,0.0,0.0,0.0,0.88966,0.0,3;5;6
5,4,D4,TES_L3,TES_PIXEL,-3.50089,0.0,8.73206,7.4357,0.0,8
6,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,281.75875,0.0,2;4;12
6,4,D4,TES_L3,TES_PIXEL,-3.50089,0.0,8.73206,22.20205,0.0,10
6,4,D4,TES_L3,TES_PIXEL,0.79479,0.0,17.12895,217.09167,0.0,9
6,4,D4,TES_L3,TES_PIXEL,9.22153,-9.1763,12.69878,77.48856,0.0,8
7,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,212.24702,0.0,2;4
8,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,8.32566,0.0,3;5;6;8
9,4,D4,TES_L3,TES_PIXEL,-3.50089,0.0,8.73206,21.954,0.0,8
9,4,D4,TES_L3,TES_PIXEL,-16.80366,-6.36396,-7.80366,510.99891,0.0,10;11;12;13;14;16
9,4,D4,TES_L3,TES_PIXEL,-3.90144,-7.48008,-2.82366,225.87494,0.0,2;4;17;18
10,4,D4,TES_L3,TES_PIXEL,3.53553,0.0,3.53553,629.60578,0.0,2;4;8
10,4,D4,TES_L3,TES_PIXEL,7.77817,0.0,7.77817,510.99891,0.0,12;13;14;15
10,4,D4,TES_L3,TES_PIXEL,-1.30885,0.0,12.90399,164.10383,0.0,10;11;19
10,4,D4,TES_L3,TES_PIXEL,2.79236,0.0,21.38927,75.12978,0.0,9;18
11,4,D4,TES_L3,TES_PIXEL,7.77817,0.0,7.77817,41.29455,0.0,2;4
12,4,D4,TES_L3,TES_PIXEL,14.23406,8.0194,7.68625,372.07783,0.0,2;4
13,4,D4,TES_L3,TES_PIXEL,7.77817,0.0,7.77817,8.32626,0.0,3;5;6;8
14,4,D4,TES_L3,TES_PIXEL,6.92965,0.0,6.92965,8.32504,0.0,3;4;5;6
15,4,D4,TES_L3,TES_PIXEL,-11.27765,0.0,-0.60033,129.98674,0.0,2;4
16,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,8.32539,0.0,3;5;6;8
17,4,D4,TES_L3,TES_PIXEL,7.77817,0.0,7.77817,380.19711,0.0,2;4;10;11
17,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,146.95025,0.0,8
17,4,D4,TES_L3,TES_PIXEL,20.5061,0.0,20.5061,11.7724,0.0,12
18,4,D4,TES_L3,TES_PIXEL,7.77817,0.0,7.77817,164.12434,0.0,2;4
18,4,D4,TES_L3,TES_PIXEL,6.92965,0.0,6.92965,27.33224,0.0,2
19,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,280.49694,0.0,2;4
20,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,8.32581,0.0,3;5;6;8
21,4,D4,TES_L3,TES_PIXEL,7.77817,0.0,7.77817,326.90545,0.0,2;4;9;10;11;15
21,4,D4,TES_L3,TES_PIXEL,14.14214,0.0,14.14214,323.4617,0.0,12
21,4,D4,TES_L3,TES_PIXEL,13.43503,0.0,13.43503,187.53721,0.0,13
