margin_bin,margin_lo_cm,margin_hi_cm,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional,difference_per_parent,difference_share_of_total,z_difference
lt_1e-4_cm,0.0,0.0001,all_tes_gt0,all TES > 0,active_veto,298,0.000298,11.0,3.0,0.03691275167785235,0.010067114093959731,3.666666666666667,8e-06,0.002831858407079646,2.1380899352993947
1e-4_1e-3_cm,0.0001,0.001,all_tes_gt0,all TES > 0,active_veto,3627,0.003627,2.0,4.0,0.0005514199062586159,0.0011028398125172319,0.5,-2e-06,-0.0007079646017699115,-0.816496580927726
1e-3_1e-2_cm,0.001,0.01,all_tes_gt0,all TES > 0,active_veto,56235,0.056235,166.0,77.0,0.002951898283986841,0.001369254023295101,2.155844155844156,8.9e-05,0.03150442477876106,5.7093526619862995
1e-2_5e-2_cm,0.01,0.05,all_tes_gt0,all TES > 0,active_veto,218430,0.21843,1317.0,394.0,0.006029391567092432,0.0018037815318408643,3.3426395939086295,0.000923,0.32672566371681416,22.313962364921753
5e-2_1e-1_cm,0.05,0.1,all_tes_gt0,all TES > 0,active_veto,225167,0.225167,1187.0,446.0,0.0052716428251031455,0.0019807520640235912,2.6614349775784754,0.000741,0.2623008849557522,18.336866181533342
1e-1_5e-1_cm,0.1,0.5,all_tes_gt0,all TES > 0,active_veto,487576,0.487576,1712.0,666.0,0.003511247477316357,0.0013659408994700314,2.5705705705705704,0.001046,0.3702654867256638,21.449924080550872
ge_5e-1_cm,0.5,,all_tes_gt0,all TES > 0,active_veto,8667,0.008667,39.0,19.0,0.004499826929733472,0.002192223376023999,2.0526315789473686,2e-05,0.007079646017699116,2.6261286571944513
lt_1e-4_cm,0.0,0.0001,all_tes_gt0,all TES > 0,raw,298,0.000298,18.0,3.0,0.06040268456375839,0.010067114093959731,6.000000000000001,1.5e-05,0.003979835500132661,3.273268353539886
1e-4_1e-3_cm,0.0001,0.001,all_tes_gt0,all TES > 0,raw,3627,0.003627,4.0,9.0,0.0011028398125172319,0.0024813895781637717,0.4444444444444444,-5e-06,-0.0013266118333775537,-1.386750490563073
1e-3_1e-2_cm,0.001,0.01,all_tes_gt0,all TES > 0,raw,56235,0.056235,301.0,169.0,0.005352538454699031,0.0030052458433360006,1.7810650887573964,0.000132,0.03502255240116742,6.088705972990642
1e-2_5e-2_cm,0.01,0.05,all_tes_gt0,all TES > 0,raw,218430,0.21843,2005.0,828.0,0.009179142059240947,0.0037906880922950145,2.4214975845410627,0.001177,0.31228442557707614,22.113280537685252
5e-2_1e-1_cm,0.05,0.1,all_tes_gt0,all TES > 0,raw,225167,0.225167,1852.0,841.0,0.008225006328636078,0.003735005573640898,2.2021403091557668,0.001011,0.26824091270894135,19.481974873416625
1e-1_5e-1_cm,0.1,0.5,all_tes_gt0,all TES > 0,raw,487576,0.487576,2337.0,921.0,0.004793098922014209,0.001888936288906755,2.537459283387622,0.001416,0.3756964712125232,24.807769233944448
ge_5e-1_cm,0.5,,all_tes_gt0,all TES > 0,raw,8667,0.008667,49.0,26.0,0.005653628706588208,0.0029998846198223145,1.8846153846153846,2.3e-05,0.006102414433536747,2.6558112382722783
