code,global_history_id,common_event_id,source_volume,material,production_tag,margin_cm,margin_bin,tes_total_keV,shield_total_keV
fluka,463864,3636,ColdPlate_MXC_50mK_SD_anchor,Copper,n,2.974707148e-05,lt_1e-4_cm,510.99906,510.99906
fluka,467922,3636,ColdPlate_MXC_50mK_SD_anchor,Copper,n,2.974707148e-05,lt_1e-4_cm,510.99906,324.052228
fluka,500252,3636,ColdPlate_MXC_50mK_SD_anchor,Copper,n,2.974707148e-05,lt_1e-4_cm,510.99906,0.0
fluka,527646,3636,ColdPlate_MXC_50mK_SD_anchor,Copper,n,2.974707148e-05,lt_1e-4_cm,510.99906,0.0
fluka,535196,3636,ColdPlate_MXC_50mK_SD_anchor,Copper,n,2.974707148e-05,lt_1e-4_cm,510.99906,0.0
megalib,29924,3636,ColdPlate_MXC_50mK_SD_anchor,Copper,n,2.974707148e-05,lt_1e-4_cm,510.99892,0.0
megalib,730664,3636,ColdPlate_MXC_50mK_SD_anchor,Copper,n,2.974707148e-05,lt_1e-4_cm,510.99890000000005,0.0
megalib,323,5518,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,n,0.0001929555308,1e-4_1e-3_cm,510.99890000000005,0.0
megalib,374957,5348,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,n,0.0006770158387,1e-4_1e-3_cm,510.998984,391.06703000000005
fluka,115648,6556,DR_Continuous_HEX_CuNi_MXC_to_CP,CuNi,n,0.001152560035,1e-3_1e-2_cm,510.99906,277.485981
megalib,641156,5362,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,n,0.001162091091,1e-3_1e-2_cm,510.998882,318.27422
fluka,299380,3610,ColdPlate_MXC_50mK_SD_anchor,Copper,n,0.00118189979,1e-3_1e-2_cm,510.99906,0.0
fluka,758216,3610,ColdPlate_MXC_50mK_SD_anchor,Copper,n,0.00118189979,1e-3_1e-2_cm,510.99906,80.4606179
megalib,361618,3610,ColdPlate_MXC_50mK_SD_anchor,Copper,n,0.00118189979,1e-3_1e-2_cm,510.998926,510.9989440000001
fluka,494212,5357,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,n,0.001383997117,1e-3_1e-2_cm,510.99906,510.99906
fluka,860941,5357,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,n,0.001383997117,1e-3_1e-2_cm,510.99906,510.99906
megalib,6295,5752,Cu_50mK_StillLike_Can_side_wall_below_side_port,Copper,n,0.001401397687,1e-3_1e-2_cm,510.9988600000001,0.0
megalib,623858,5752,Cu_50mK_StillLike_Can_side_wall_below_side_port,Copper,n,0.001401397687,1e-3_1e-2_cm,510.99887700000005,329.56359
fluka,611364,5605,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,n,0.001406668838,1e-3_1e-2_cm,510.99906,510.99906
fluka,118059,5486,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,n,0.001455494843,1e-3_1e-2_cm,510.99906,226.231642
fluka,200216,5486,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,n,0.001455494843,1e-3_1e-2_cm,510.99906,328.502229
fluka,207624,3084,ColdPlate_CP_100mK_intercept,Copper,n,0.001477996333,1e-3_1e-2_cm,510.99906,0.0
fluka,595973,3084,ColdPlate_CP_100mK_intercept,Copper,n,0.001477996333,1e-3_1e-2_cm,510.99906,286.737494
fluka,39285,6044,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,0.001479802476,1e-3_1e-2_cm,510.99906,154.096716
fluka,233981,6044,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,0.001479802476,1e-3_1e-2_cm,510.99906,0.0
fluka,557602,6044,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,0.001479802476,1e-3_1e-2_cm,510.99906,0.0
fluka,900190,6044,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,0.001479802476,1e-3_1e-2_cm,510.99906,510.99906
megalib,165272,6044,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,0.001479802476,1e-3_1e-2_cm,510.99888,0.0
megalib,178968,6044,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,0.001479802476,1e-3_1e-2_cm,510.99890899999997,499.16933839999996
megalib,808449,6044,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,0.001479802476,1e-3_1e-2_cm,510.998899,475.74238309999987
megalib,325722,5321,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,n,0.001617467858,1e-3_1e-2_cm,510.99892864700007,0.0
megalib,421547,5321,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,n,0.001617467858,1e-3_1e-2_cm,510.99890611,510.99891470000006
fluka,180765,3099,ColdPlate_CP_100mK_intercept,Copper,n,0.001722921341,1e-3_1e-2_cm,510.99906,0.0
megalib,613290,5602,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,n,0.002040137181,1e-3_1e-2_cm,510.99897,510.99887999999993
fluka,787386,6591,DR_Continuous_HEX_CuNi_MXC_to_CP,CuNi,n,0.002052724501,1e-3_1e-2_cm,510.99906,0.0
megalib,795018,6591,DR_Continuous_HEX_CuNi_MXC_to_CP,CuNi,n,0.002052724501,1e-3_1e-2_cm,510.99892,0.0
megalib,990595,5692,Cu_50mK_StillLike_Can_side_wall_below_side_port,Copper,n,0.002093128284,1e-3_1e-2_cm,510.99889,0.0
fluka,620762,5960,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,n,0.002199533579,1e-3_1e-2_cm,510.99906,0.0
fluka,706358,5772,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,n,0.002473101428,1e-3_1e-2_cm,510.99906,247.366396
fluka,893960,5823,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,n,0.002583638809,1e-3_1e-2_cm,510.99906,510.99906
