metric,metric_label,stage,fluka_histories,fluka_sum_w,fluka_efficiency,fluka_sigma,megalib_histories,megalib_sum_w,megalib_efficiency,megalib_sigma,fluka_over_megalib,z_efficiency_difference
all_tes_gt0,all TES > 0,raw,1000000,6566.0,0.006566,8.076439589323999e-05,1000000,2797.0,0.002797,5.281265748852258e-05,2.347515194851627,39.05738396840519
all_tes_gt0,all TES > 0,active_veto,1000000,4434.0,0.004434,6.644049701800853e-05,1000000,1609.0,0.001609,4.008005886971725e-05,2.75574891236793,36.40769023738565
e480_550,480-550 keV,raw,1000000,1470.0,0.00147,3.8312388335889475e-05,1000000,1072.0,0.001072,3.272385698538606e-05,1.3712686567164178,7.899111480775425
e480_550,480-550 keV,active_veto,1000000,779.0,0.000779,2.7899698188331716e-05,1000000,606.0,0.000606,2.4609607148428844e-05,1.2854785478547854,4.6502252591365485
w2_510p58_511p42,W2 510.58-511.42 keV,raw,1000000,1269.0,0.001269,3.56004162756561e-05,1000000,1008.0,0.001008,3.1733010194433184e-05,1.2589285714285714,5.472800371864761
w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,1000000,662.0,0.000662,2.5720842832224607e-05,1000000,563.0,0.000563,2.37209407697081e-05,1.1758436944937833,2.8294437396473744
e1500_3000,1500-3000 keV,raw,1000000,1.0,1e-06,9.999994999998751e-07,1000000,0.0,0.0,0.0,,1.0000005000003749
e1500_3000,1500-3000 keV,active_veto,1000000,1.0,1e-06,9.999994999998751e-07,1000000,0.0,0.0,0.0,,1.0000005000003749
e3000_10000,3000-10000 keV,raw,1000000,0.0,0.0,0.0,1000000,0.0,0.0,0.0,,
e3000_10000,3000-10000 keV,active_veto,1000000,0.0,0.0,0.0,1000000,0.0,0.0,0.0,,
w2_expected,W2 analytic Gaussian expectation,raw,1000000,1265.993289948566,0.001265993289948566,3.5527878217190546e-05,1000000,1005.1891416209602,0.0010051891416209603,3.165831206031223e-05,1.259457785135875,5.480628443355405
w2_expected,W2 analytic Gaussian expectation,active_veto,1000000,660.6923342297791,0.0006606923342297791,2.5664049556563385e-05,1000000,561.3023520380557,0.0005613023520380557,2.365673624958571e-05,1.1770703112695755,2.8475295120905226
