event_definition,event_definition_label,metric,metric_label,stage,fluka_histories,fluka_sum_w,fluka_sigma,fluka_efficiency,megalib_histories,megalib_sum_w,megalib_sigma,megalib_efficiency,fluka_over_megalib,z_efficiency_difference
parent,whole parent history,all_tes_gt0,all TES > 0,raw,1000000,6566.0,8.103085831953158e-05,0.006566,1000000,2797.0,5.288667128870941e-05,0.002797,2.347515194851627,38.951001241351
parent,whole parent history,all_tes_gt0,all TES > 0,active_veto,1000000,4434.0,6.658828725834597e-05,0.004434,1000000,1609.0,4.011234224026316e-05,0.001609,2.75574891236793,36.340605154407946
parent,whole parent history,e480_550,480-550 keV,raw,1000000,1470.0,3.834057902536163e-05,0.00147,1000000,1072.0,3.2741411087489804e-05,0.001072,1.3712686567164178,7.893966862392289
parent,whole parent history,e480_550,480-550 keV,active_veto,1000000,779.0,2.7910571473905726e-05,0.000779,1000000,606.0,2.461706725018234e-05,0.000606,1.2854785478547854,4.64858970888897
parent,whole parent history,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1000000,1269.0,3.562302626111375e-05,0.001269,1000000,1008.0,3.1749015732775085e-05,0.001008,1.2589285714285714,5.469643137118803
parent,whole parent history,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,1000000,662.0,2.5729360660537213e-05,0.000662,1000000,563.0,2.3727621035409345e-05,0.000563,1.1758436944937833,2.8285714285714296
parent,whole parent history,w2_expected,W2 analytic Gaussian expectation,raw,1000000,1265.9932885508895,3.552787819843304e-05,0.0012659932885508895,1000000,1005.1891416209602,3.1658312060312237e-05,0.0010051891416209603,1.259457783745414,5.480628415597045
parent,whole parent history,w2_expected,W2 analytic Gaussian expectation,active_veto,1000000,660.6923328164887,2.5664049530837094e-05,0.0006606923328164887,1000000,561.3023520380558,2.3656736249585714e-05,0.0005613023520380558,1.1770703087516983,2.847529473142856
within_1us,cluster from first deposit within 1 microsecond,all_tes_gt0,all TES > 0,raw,1000000,6566.0,8.103085831953158e-05,0.006566,1000000,2797.0,5.288667128870941e-05,0.002797,2.347515194851627,38.951001241351
within_1us,cluster from first deposit within 1 microsecond,all_tes_gt0,all TES > 0,active_veto,1000000,4434.0,6.658828725834597e-05,0.004434,1000000,1609.0,4.011234224026316e-05,0.001609,2.75574891236793,36.340605154407946
within_1us,cluster from first deposit within 1 microsecond,e480_550,480-550 keV,raw,1000000,1470.0,3.834057902536163e-05,0.00147,1000000,1072.0,3.2741411087489804e-05,0.001072,1.3712686567164178,7.893966862392289
within_1us,cluster from first deposit within 1 microsecond,e480_550,480-550 keV,active_veto,1000000,779.0,2.7910571473905726e-05,0.000779,1000000,606.0,2.461706725018234e-05,0.000606,1.2854785478547854,4.64858970888897
within_1us,cluster from first deposit within 1 microsecond,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1000000,1269.0,3.562302626111375e-05,0.001269,1000000,1008.0,3.1749015732775085e-05,0.001008,1.2589285714285714,5.469643137118803
within_1us,cluster from first deposit within 1 microsecond,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,1000000,662.0,2.5729360660537213e-05,0.000662,1000000,563.0,2.3727621035409345e-05,0.000563,1.1758436944937833,2.8285714285714296
within_1us,cluster from first deposit within 1 microsecond,w2_expected,W2 analytic Gaussian expectation,raw,1000000,1265.9932885508895,3.552787819843304e-05,0.0012659932885508895,1000000,1005.1891416209602,3.1658312060312237e-05,0.0010051891416209603,1.259457783745414,5.480628415597045
within_1us,cluster from first deposit within 1 microsecond,w2_expected,W2 analytic Gaussian expectation,active_veto,1000000,660.6923328164887,2.5664049530837094e-05,0.0006606923328164887,1000000,561.3023520380558,2.3656736249585714e-05,0.0005613023520380558,1.1770703087516983,2.847529473142856
within_1ns,cluster from first deposit within 1 nanosecond,all_tes_gt0,all TES > 0,raw,1000000,6566.0,8.103085831953158e-05,0.006566,1000000,2797.0,5.288667128870941e-05,0.002797,2.347515194851627,38.951001241351
within_1ns,cluster from first deposit within 1 nanosecond,all_tes_gt0,all TES > 0,active_veto,1000000,4434.0,6.658828725834597e-05,0.004434,1000000,1618.0,4.022437072223753e-05,0.001618,2.740420271940667,36.19788456972587
within_1ns,cluster from first deposit within 1 nanosecond,e480_550,480-550 keV,raw,1000000,1470.0,3.834057902536163e-05,0.00147,1000000,1072.0,3.2741411087489804e-05,0.001072,1.3712686567164178,7.893966862392289
within_1ns,cluster from first deposit within 1 nanosecond,e480_550,480-550 keV,active_veto,1000000,779.0,2.7910571473905726e-05,0.000779,1000000,611.0,2.471841418861655e-05,0.000611,1.2749590834697218,4.506110958600888
within_1ns,cluster from first deposit within 1 nanosecond,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1000000,1269.0,3.562302626111375e-05,0.001269,1000000,1008.0,3.1749015732775085e-05,0.001008,1.2589285714285714,5.469643137118803
within_1ns,cluster from first deposit within 1 nanosecond,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,1000000,662.0,2.5729360660537213e-05,0.000662,1000000,568.0,2.383275057562597e-05,0.000568,1.165492957746479,2.680249958007345
within_1ns,cluster from first deposit within 1 nanosecond,w2_expected,W2 analytic Gaussian expectation,raw,1000000,1265.9932885508895,3.552787819843304e-05,0.0012659932885508895,1000000,1005.1891416209602,3.1658312060312237e-05,0.0010051891416209603,1.259457783745414,5.480628415597045
within_1ns,cluster from first deposit within 1 nanosecond,w2_expected,W2 analytic Gaussian expectation,active_veto,1000000,660.6923328164887,2.5664049530837094e-05,0.0006606923328164887,1000000,566.2888489116858,2.376161190232277e-05,0.0005662888489116858,1.1667055321435886,2.6991626382952836
