code,stage,source_volume,carrier_key,histories,hit_rows,deposit_keV_sum
fluka,raw,ColdPlate_MXC_50mK_SD_anchor,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,438,651,221873.03362576055
fluka,raw,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,150,215,75775.5870413001
fluka,raw,Cu_50mK_StillLike_Can_side_wall_above_side_port,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,132,203,66771.42102302407
fluka,raw,Cu_50mK_StillLike_Can_bottom_cap_2mm,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,90,132,45341.528992939995
fluka,raw,ColdPlate_CP_100mK_intercept,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,88,129,44182.14304579999
fluka,raw,Cu_SubstrateSupport_SolidDisk_L0_deepest,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,74,103,37813.93044062997
fluka,raw,ColdPlate_Still_0p7K,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,47,60,23633.87646379998
fluka,raw,Cu_50mK_StillLike_Can_side_wall_below_side_port,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,46,65,23289.81036709998
fluka,raw,DR_MixingChamber_Cu,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,39,53,19078.581088699997
fluka,raw,DR_Continuous_HEX_CuNi_MXC_to_CP,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,30,47,15004.672300670001
fluka,raw,DR_Continuous_HEX_CuNi_CP_to_Still,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,17,21,8539.327893
fluka,raw,ColdPlate_4K,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,14,17,7153.9868400000005
fluka,raw,Cu_SubstrateSupport_OpenRing_L5_YP_panel,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,13,22,6642.98778
fluka,raw,DR_Still_Pot_Cu,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,12,17,6131.9887205
fluka,raw,Cu_ColdFinger_Stem_YP_ZP_to_MXC,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,10,14,4865.2014126
fluka,raw,ColdPlate_MXC_50mK_SD_anchor,FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2,8,8,1944.5546528999998
fluka,raw,Cu_SubstrateSupport_OpenRing_L4_YP_panel,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,7,8,3340.6348288000004
fluka,raw,Cu_SubstrateSupport_OpenRing_L2_ZP_panel,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,6,9,3065.99436
fluka,raw,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,5,5,2554.9953
fluka,raw,DR_Capillary_CuNi_MXC_CP,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,5,6,2554.9953
fluka,raw,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2,5,6,874.0541705999999
fluka,raw,Cu_SubstrateSupport_OpenRing_L1_YM_panel,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,4,8,2043.9962405
fluka,raw,DR_Capillary_CuNi_CP_Still,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,4,6,2043.99624
fluka,raw,Cu_ColdFinger_Stem_YP_ZM_to_MXC,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,4,6,2043.9962399
fluka,raw,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20,3,7,1532.9971801000002
