code,global_history_id,source_volume,material,production_tag,tes_total_keV,shield_total_keV,active_veto,weighted_source_to_tes_cm,min_source_to_tes_cm,n_tes_pixels,n_shield_segments,top_carriers
fluka,580774,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,0.0,True,0.2818211710854953,0.2818211710854953,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,929521,ColdPlate_MXC_50mK_SD_anchor,Copper,n,510.99906,0.0,True,0.3383481954400364,0.31874983874793045,2,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,491721,Cu_ColdFinger_Stem_YP_ZP_to_MXC,Copper,n,510.99906,510.99906,False,0.3734848328183243,0.3734848328183243,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,641187,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,0.0,True,0.40408676563665674,0.40408676563665674,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,310601,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,0.0,True,0.42664341435897063,0.42664341435897063,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,53005,Cu_ColdFinger_Stem_YP_ZP_to_MXC,Copper,n,510.99906,510.99906,False,0.42950476943650095,0.42950476943650095,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,190466,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,0.0,True,0.4482644829080241,0.4482644829080241,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,241159,ColdPlate_MXC_50mK_SD_anchor,Copper,n,510.99906,371.451987,False,0.49821100432209875,0.49821100432209875,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,623030,Cu_ColdFinger_Stem_YP_ZP_to_MXC,Copper,n,510.99906,510.99906,False,0.5210941768011141,0.5210941768011141,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,805620,ColdPlate_MXC_50mK_SD_anchor,Copper,n,510.99906,510.99906,False,0.5418066439317586,0.5240930408012721,2,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,74925,Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,Copper,n,510.99906,0.0,True,0.5481492059429456,0.5481492059429456,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,305468,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,44.023708,True,0.5662942599410842,0.45576796387651486,2,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,775999,ColdPlate_MXC_50mK_SD_anchor,Copper,n,510.99906,0.0,True,0.5793487318847539,0.5793487318847539,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,152298,Cu_ColdFinger_Stem_YP_ZP_to_MXC,Copper,n,510.99906,510.99906,False,0.5961583518151392,0.5961583518151392,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,566996,Cu_ColdFinger_Stem_YP_ZP_to_MXC,Copper,n,510.99906,245.168816,False,0.5980992338196055,0.5980992338196055,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,808488,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,116.587774,False,0.6194163821524094,0.6194163821524094,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,475701,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,129.95611,False,0.6207818766204858,0.6207818766204858,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,898390,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,0.0,True,0.640534228250294,0.640534228250294,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,576751,ColdPlate_MXC_50mK_SD_anchor,Copper,n,510.99906,109.642129,False,0.6413115089345838,0.6413115089345838,1,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,333744,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.9990599,195.085174,False,0.663607963760869,0.32803801422371437,3,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:3
fluka,705165,ColdPlate_MXC_50mK_SD_anchor,Copper,n,510.99906,0.0,True,0.6664272434615123,0.5932996723400882,2,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,200335,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906,0.0,True,0.6700609471605095,0.6700609471605095,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,571366,ColdPlate_MXC_50mK_SD_anchor,Copper,n,510.99906,0.0,True,0.6974160378097897,0.6974160378097897,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,831142,Cu_SubstrateSupport_OpenRing_L5_ZP_panel,Copper,n,510.99906,0.0,True,0.7291847065268305,0.7291847065268305,1,0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,896983,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99906033,68.9653082,False,0.7610030261204692,0.45340694693742245,2,1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
megalib,590994,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.998951,322.97486,False,0.254322757319108,0.2473274456626482,1,1,MEGAlib:e-|gamma|phot|msc:5; MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|e+|annihil|phot:1
megalib,685010,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99892,0.0,True,0.2555636258172536,0.1932921641652606,2,0,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:e-|gamma|compt|eIoni:2
megalib,564175,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.9989,493.94052000000005,False,0.26744890192159904,0.1379838413806848,1,1,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,816935,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99890999999997,59.33666,False,0.2761411984748509,0.1717619910260998,1,1,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,798104,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.9989,361.000113,False,0.2860856492926841,0.2264606995727072,1,1,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,443009,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99887,116.3763,False,0.2944831291880486,0.26555589748188624,1,1,MEGAlib:e-|gamma|phot|eIoni:5; MEGAlib:gamma|gamma|phot|phot:3; MEGAlib:gamma|e+|annihil|phot:1
megalib,163388,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.9989,510.9989419000001,False,0.3251294791921267,0.2754704637524869,1,1,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,20517,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.9989,0.0,True,0.32920968574289694,0.263471617992318,1,0,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,278575,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99894,0.0,True,0.34407696833468027,0.25410530996122477,1,0,MEGAlib:e-|gamma|phot|eIoni:2; MEGAlib:gamma|e+|annihil|compt:1; MEGAlib:gamma|e+|annihil|phot:1
megalib,823643,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99895200000003,0.0,True,0.3698075897021442,0.34248286061239636,1,0,MEGAlib:e-|gamma|phot|msc:6; MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1
megalib,841960,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99890009999996,142.30788,False,0.3735286155162238,0.19055117432660978,1,1,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,733362,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99888,205.502422,False,0.3976183960034266,0.2944890424715495,1,1,MEGAlib:gamma|e+|annihil|compt:1; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:e-|gamma|phot|eIoni:1
