code,source_volume,source_histories,w2_raw_events,conditional_efficiency,active_veto_events,active_veto_fraction,median_source_to_tes_cm,p10_source_to_tes_cm,p90_source_to_tes_cm,single_tes_pixel_fraction,multi_tes_pixel_fraction,shield_touched_fraction,side_shield_touched_fraction,top_tes_channels,top_carriers
fluka,ColdPlate_4K,391829,14,3.57298719594517e-05,14,1.0,24.22800884381812,22.75304196157048,26.17465456510145,0.7857142857142857,0.21428571428571427,0.0,0.0,TP_L1_00021:1; TP_L0_00110:1; TP_L0_00170:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:17
fluka,ColdPlate_CP_100mK_intercept,95876,88,0.0009178522257916476,49,0.5568181818181818,9.498762899174586,7.017550385797712,11.766001050698092,0.5681818181818182,0.4318181818181818,0.45454545454545453,0.20454545454545456,TP_L3_00332:2; TP_L5_00066:2; TP_L5_00241:2,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:129; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:3
fluka,ColdPlate_MXC_50mK_SD_anchor,84445,438,0.005186807981526437,239,0.545662100456621,4.577800070690741,2.010099575439861,7.879748157762382,0.589041095890411,0.410958904109589,0.4589041095890411,0.3584474885844749,TP_L4_00319:4; TP_L2_00361:4; TP_L5_00281:3,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:651; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:8
fluka,ColdPlate_Still_0p7K,188826,47,0.00024890640060161207,31,0.6595744680851063,15.4003627909301,13.63387982766847,17.462979689654805,0.7446808510638298,0.2553191489361702,0.3829787234042553,0.10638297872340426,TP_L4_00135:2; TP_L5_00114:1; TP_L5_00093:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:60; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1
fluka,Cu_50mK_StillLike_Can_bottom_cap_2mm,26982,90,0.00333555703802535,24,0.26666666666666666,6.625508957445586,4.7028445106834456,8.895335868345965,0.5444444444444444,0.45555555555555555,0.7333333333333333,0.5,TP_L4_00159:2; TP_L1_00211:2; TP_L2_00307:2,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:132; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:3
fluka,Cu_50mK_StillLike_Can_side_wall_above_side_port,26299,132,0.005019202251036161,55,0.4166666666666667,4.566828583392779,2.129863410034625,8.822497062054582,0.5909090909090909,0.4090909090909091,0.5984848484848485,0.4696969696969697,TP_L0_00168:2; TP_L5_00327:2; TP_L3_00336:2,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:203; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:2
fluka,Cu_50mK_StillLike_Can_side_wall_below_side_port,17795,46,0.002584995785332959,14,0.30434782608695654,8.326837948822284,5.322980346370141,11.027853325965168,0.6304347826086957,0.3695652173913043,0.7391304347826086,0.43478260869565216,TP_L4_00061:2; TP_L4_00080:2; TP_L5_00037:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:65; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1
fluka,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,31280,150,0.00479539641943734,68,0.4533333333333333,5.855178969698961,3.3516006063880197,9.48856013064436,0.6333333333333333,0.36666666666666664,0.5733333333333334,0.4,TP_L3_00136:3; TP_L2_00298:2; TP_L4_00229:2,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:215; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:6
fluka,Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,152,2,0.013157894736842105,2,1.0,2.197025561349423,0.8779244770242411,3.516126645674605,1.0,0.0,0.0,0.0,TP_L2_00043:1; TP_L5_00339:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,145,3,0.020689655172413793,1,0.3333333333333333,2.0417859759087666,1.3259455745940771,3.210580903154623,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,TP_L2_00127:1; TP_L5_00148:1; TP_L5_00146:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:7
fluka,Cu_ColdFinger_Stem_YM_ZM_to_MXC,150,3,0.02,2,0.6666666666666666,2.814772732924983,2.051579897713204,3.3023683352471016,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,TP_L5_00125:1; TP_L4_00217:1; TP_L5_00251:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:5
fluka,Cu_ColdFinger_Stem_YM_ZP_to_MXC,147,1,0.006802721088435374,0,0.0,1.1248529392120032,1.1248529392120032,1.1248529392120032,1.0,0.0,1.0,1.0,TP_L3_00023:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,Cu_ColdFinger_Stem_YP_ZM_to_MXC,419,4,0.00954653937947494,2,0.5,3.3985864412035127,1.4699162692981815,4.801323034792107,0.5,0.5,0.5,0.5,TP_L4_00185:1; TP_L5_00247:1; TP_L5_00270:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:6
fluka,Cu_ColdFinger_Stem_YP_ZP_to_MXC,158,10,0.06329113924050633,2,0.2,0.7765527317409591,0.4239027757746833,3.1093416185021368,0.7,0.3,0.9,0.6,TP_L5_00346:1; TP_L5_00312:1; TP_L5_00365:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:14; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:3
