dimension,key,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_contribution_per_parent,megalib_contribution_per_parent,contribution_difference_per_parent,difference_share_of_total,z_contribution_difference,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional
material,Copper,all_tes_gt0,all TES > 0,active_veto,937427,0.937427,4322.0,1564.0,0.004322,0.001564,0.002758,0.9762831858407081,35.94877807269879,0.004610492337003308,0.001668396579146963,2.7634271099744243
material,CuNi,all_tes_gt0,all TES > 0,active_veto,62573,0.062573,112.0,45.0,0.000112,4.5e-05,6.7e-05,0.023716814159292037,5.3471821259330685,0.001789909385837342,0.0007191600210953606,2.488888888888889
material,Copper,all_tes_gt0,all TES > 0,raw,937427,0.937427,6372.0,2732.0,0.006372,0.002732,0.00364,0.965773414698859,38.149184541678984,0.006797329285373688,0.0029143602648526233,2.3323572474377743
material,CuNi,all_tes_gt0,all TES > 0,raw,62573,0.062573,194.0,65.0,0.000194,6.5e-05,0.000129,0.03422658530114088,8.01566998141548,0.00310037875761111,0.001038786697137743,2.9846153846153847
material,Copper,e1500_3000,1500-3000 keV,active_veto,937427,0.937427,1.0,0.0,1e-06,0.0,1e-06,1.0,1.0,1.0667497309123803e-06,0.0,
material,Copper,e1500_3000,1500-3000 keV,raw,937427,0.937427,1.0,0.0,1e-06,0.0,1e-06,1.0,1.0,1.0667497309123803e-06,0.0,
material,Copper,e480_550,480-550 keV,active_veto,937427,0.937427,740.0,587.0,0.00074,0.000587,0.00015300000000000003,0.8843930635838152,4.200064592032116,0.0007893948008751614,0.0006261820920455673,1.260647359454855
material,CuNi,e480_550,480-550 keV,active_veto,62573,0.062573,39.0,19.0,3.9e-05,1.9e-05,1.9999999999999998e-05,0.11560693641618495,2.626128657194451,0.0006232720182826459,0.0003036453422402634,2.0526315789473686
material,Copper,e480_550,480-550 keV,raw,937427,0.937427,1405.0,1052.0,0.001405,0.001052,0.000353,0.8869346733668342,7.1215106344029095,0.0014987833719318944,0.0011222207169198242,1.335551330798479
material,CuNi,e480_550,480-550 keV,raw,62573,0.062573,65.0,20.0,6.5e-05,2e-05,4.4999999999999996e-05,0.11306532663316582,4.880935300919764,0.001038786697137743,0.0003196266760423825,3.2499999999999996
material,Copper,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,937427,0.937427,626.0,545.0,0.000626,0.000545,8.100000000000002e-05,0.8181818181818185,2.3670453103565547,0.0006677853315511501,0.0005813786033472473,1.1486238532110091
material,CuNi,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,62573,0.062573,36.0,18.0,3.6e-05,1.8e-05,1.8e-05,0.18181818181818182,2.449489742783178,0.0005753280168762885,0.00028766400843814426,2.0
material,Copper,w2_510p58_511p42,W2 510.58-511.42 keV,raw,937427,0.937427,1210.0,989.0,0.00121,0.000989,0.00022099999999999984,0.8467432950191565,4.712807045712105,0.0012907671744039804,0.0010550154838723442,1.2234580384226492
material,CuNi,w2_510p58_511p42,W2 510.58-511.42 keV,raw,62573,0.062573,59.0,19.0,5.9e-05,1.9e-05,3.9999999999999996e-05,0.1532567049808429,4.529108136578382,0.0009428986943250284,0.0003036453422402634,3.105263157894737
material,Copper,w2_expected,W2 analytic Gaussian expectation,active_veto,937427,0.937427,624.7895484663968,543.3509631438743,0.0006247895484663968,0.0005433509631438743,8.143858532252252e-05,0.8193842430259092,2.3864169657468293,0.0006664940827033964,0.0005796194937247106,1.1498821035511044
material,CuNi,w2_expected,W2 analytic Gaussian expectation,active_veto,62573,0.062573,35.902785763380386,17.951388894181186,3.5902785763380384e-05,1.7951388894181186e-05,1.7951396869199198e-05,0.1806157569740905,2.4494904682505925,0.0005737744037105523,0.00028688713812956366,2.0000004442563224
material,Copper,w2_expected,W2 analytic Gaussian expectation,raw,937427,0.937427,1207.1526132808071,986.2404533140864,0.0012071526132808072,0.0009862404533140863,0.00022091215996672083,0.8470423548985195,4.723949039644297,0.0012877297253874778,0.0010520717381877057,1.2239942188787576
material,CuNi,w2_expected,W2 analytic Gaussian expectation,raw,62573,0.062573,58.84067666776223,18.948688306873773,5.8840676667762234e-05,1.8948688306873773e-05,3.989198836088846e-05,0.15295764510148105,4.529108854411845,0.0009403524949700707,0.00030282531294446125,3.105263842796831
production_tag,n,all_tes_gt0,all TES > 0,active_veto,998695,0.998695,4427.0,1602.0,0.004427,0.001602,0.0028250000000000003,1.0000000000000002,36.382774126088414,0.004432784784143307,0.0016040933418110634,2.7634207240948814
production_tag,p,all_tes_gt0,all TES > 0,active_veto,1140,0.00114,7.0,7.0,7e-06,7e-06,0.0,0.0,0.0,0.0061403508771929825,0.0061403508771929825,1.0
production_tag,n,all_tes_gt0,all TES > 0,raw,998695,0.998695,6557.0,2787.0,0.006557,0.002787,0.0037700000000000003,1.0002653223666755,39.00092750038659,0.006565568066326556,0.0027906417875327304,2.3527090060997486
production_tag,p,all_tes_gt0,all TES > 0,raw,1140,0.00114,9.0,10.0,9e-06,1e-05,-1.0000000000000006e-06,-0.0002653223666755109,-0.22941573387056188,0.007894736842105263,0.008771929824561403,0.9000000000000001
production_tag,n,e1500_3000,1500-3000 keV,active_veto,998695,0.998695,1.0,0.0,1e-06,0.0,1e-06,1.0,1.0,1.0013067052503517e-06,0.0,
production_tag,n,e1500_3000,1500-3000 keV,raw,998695,0.998695,1.0,0.0,1e-06,0.0,1e-06,1.0,1.0,1.0013067052503517e-06,0.0,
production_tag,n,e480_550,480-550 keV,active_veto,998695,0.998695,778.0,600.0,0.000778,0.0006,0.0001780000000000001,1.0289017341040467,4.795074880119254,0.0007790166166847737,0.0006007840231502111,1.2966666666666666
production_tag,p,e480_550,480-550 keV,active_veto,1140,0.00114,1.0,6.0,1e-06,6e-06,-5e-06,-0.028901734104046246,-1.889822365046136,0.0008771929824561404,0.005263157894736842,0.16666666666666669
production_tag,n,e480_550,480-550 keV,raw,998695,0.998695,1468.0,1066.0,0.001468,0.001066,0.0004019999999999998,1.0100502512562808,7.985879408616562,0.0014699182433075162,0.001067392947796875,1.377110694183865
production_tag,p,e480_550,480-550 keV,raw,1140,0.00114,2.0,6.0,2e-06,6e-06,-4.000000000000001e-06,-0.010050251256281409,-1.4142135623730951,0.0017543859649122807,0.005263157894736842,0.33333333333333337
production_tag,n,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,998695,0.998695,661.0,557.0,0.000661,0.000557,0.00010400000000000003,1.0505050505050508,2.9799549263185154,0.0006618637321704825,0.000557727834824446,1.1867145421903051
production_tag,p,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,1140,0.00114,1.0,6.0,1e-06,6e-06,-5e-06,-0.05050505050505051,-1.889822365046136,0.0008771929824561404,0.005263157894736842,0.16666666666666669
production_tag,n,w2_510p58_511p42,W2 510.58-511.42 keV,raw,998695,0.998695,1267.0,1002.0,0.001267,0.001002,0.00026499999999999983,1.0153256704980835,5.5632506327207665,0.0012686555955521957,0.0010033093186608525,1.2644710578842315
production_tag,p,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1140,0.00114,2.0,6.0,2e-06,6e-06,-4.000000000000001e-06,-0.015325670498084294,-1.4142135623730951,0.0017543859649122807,0.005263157894736842,0.33333333333333337
production_tag,n,w2_expected,W2 analytic Gaussian expectation,active_veto,998695,0.998695,659.6950346252407,555.3185556208853,0.0006596950346252408,0.0005553185556208853,0.00010437647900435549,1.0501710202846508,2.9989745087010085,0.0006605570615906165,0.0005560441932931328,1.1879578450024153
production_tag,p,w2_expected,W2 analytic Gaussian expectation,active_veto,1140,0.00114,0.997299604538344,5.98379641717045,9.97299604538344e-07,5.98379641717045e-06,-4.986496812632106e-06,-0.05017102028465147,-1.889822234018125,0.0008748242145073193,0.005248944225588114,0.16666670037045406
production_tag,n,w2_expected,W2 analytic Gaussian expectation,raw,998695,0.998695,1263.9986907394893,999.2053452037898,0.0012639986907394894,0.0009992053452037898,0.0002647933455356996,1.0152957582679347,5.574260754126854,0.0012656503644651164,0.001000511012074547,1.2650039321814222
production_tag,p,w2_expected,W2 analytic Gaussian expectation,raw,1140,0.00114,1.994599209076688,5.98379641717045,1.994599209076688e-06,5.98379641717045e-06,-3.989197208093762e-06,-0.015295758267935142,-1.4142133478835104,0.0017496484290146386,0.005248944225588114,0.3333334007409081
source_volume,Cu_SubstrateSupport_SolidDisk_L0_deepest,all_tes_gt0,all TES > 0,active_veto,4708,0.004708,1593.0,149.0,0.001593,0.000149,0.001444,0.5111504424778761,34.59737253019529,0.33836023789294817,0.0316482582837723,10.691275167785234
source_volume,ColdPlate_MXC_50mK_SD_anchor,all_tes_gt0,all TES > 0,active_veto,84445,0.084445,990.0,509.0,0.00099,0.000509,0.000481,0.17026548672566372,12.423508456749106,0.011723607081532358,0.006027591923737344,1.9449901768172886
source_volume,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,all_tes_gt0,all TES > 0,active_veto,31280,0.03128,267.0,66.0,0.000267,6.6e-05,0.00020099999999999998,0.07115044247787611,11.014732149458936,0.008535805626598466,0.00210997442455243,4.045454545454546
source_volume,Cu_50mK_StillLike_Can_side_wall_above_side_port,all_tes_gt0,all TES > 0,active_veto,26299,0.026299,265.0,69.0,0.000265,6.9e-05,0.000196,0.06938053097345133,10.72464284122582,0.010076428761549868,0.0026236739039507207,3.8405797101449273
source_volume,Cu_50mK_StillLike_Can_bottom_cap_2mm,all_tes_gt0,all TES > 0,active_veto,26982,0.026982,216.0,134.0,0.000216,0.000134,8.199999999999999e-05,0.02902654867256637,4.383084367363759,0.008005336891260841,0.004966273812171077,1.6119402985074627
source_volume,Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,all_tes_gt0,all TES > 0,active_veto,152,0.000152,70.0,1.0,7e-05,1e-06,6.9e-05,0.024424778761061947,8.188793441537587,0.4605263157894737,0.006578947368421052,70.0
source_volume,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,all_tes_gt0,all TES > 0,active_veto,145,0.000145,67.0,2.0,6.7e-05,2e-06,6.500000000000001e-05,0.023008849557522127,7.8250804505749985,0.46206896551724136,0.013793103448275862,33.5
source_volume,Cu_SubstrateSupport_OpenRing_L5_ZP_panel,all_tes_gt0,all TES > 0,active_veto,305,0.000305,66.0,9.0,6.6e-05,9e-06,5.7e-05,0.02017699115044248,6.581793068761733,0.21639344262295082,0.029508196721311476,7.333333333333333
source_volume,ColdPlate_4K,all_tes_gt0,all TES > 0,active_veto,391829,0.391829,46.0,89.0,4.6e-05,8.9e-05,-4.2999999999999995e-05,-0.015221238938053097,-3.700850753042643,0.00011739815072391272,0.00022713990031365724,0.5168539325842696
source_volume,DR_MixingChamber_Cu,all_tes_gt0,all TES > 0,active_veto,14457,0.014457,119.0,81.0,0.000119,8.1e-05,3.8e-05,0.01345132743362832,2.6870057685088806,0.008231306633464757,0.005602822162274331,1.4691358024691357
source_volume,Cu_SubstrateSupport_OpenRing_L4_YP_panel,all_tes_gt0,all TES > 0,active_veto,304,0.000304,40.0,11.0,4e-05,1.1e-05,2.9000000000000004e-05,0.010265486725663719,4.060812243681228,0.13157894736842105,0.03618421052631579,3.636363636363636
