code,metric,stage,carrier_group,local_secondary,parent,creator_step_process,histories_with_hit,hit_rows,deposit_keV_sum
fluka,e480_550,active_veto,EM_BELOW_THRESHOLD,EM_BELOW_THRESHOLD,,icode_20,771,1098,388741.71329360077
fluka,e480_550,active_veto,ELECTRON,ELECTRON,,icode_2,24,26,7590.553843700001
fluka,e480_550,active_veto,POSITRON,POSITRON,,icode_2,32,33,1466.3548211210002
fluka,e480_550,active_veto,PHOTON,PHOTON,,icode_22,17,18,136.07600244
fluka,e480_550,active_veto,ELECTRON,ELECTRON,,icode_22,18,18,20.819999687999996
megalib,e480_550,active_veto,e-|parent=gamma|creator=phot|step=eIoni,e-,gamma,phot->eIoni,606,1973,194217.90044419066
megalib,e480_550,active_veto,e-|parent=gamma|creator=compt|step=eIoni,e-,gamma,compt->eIoni,287,450,55985.199985300016
megalib,e480_550,active_veto,e-|parent=gamma|creator=phot|step=msc,e-,gamma,phot->msc,127,2148,18944.891375531683
megalib,e480_550,active_veto,e-|parent=gamma|creator=phot|step=eBrem,e-,gamma,phot->eBrem,139,159,13144.259997609995
megalib,e480_550,active_veto,e-|parent=e-|creator=eIoni|step=eIoni,e-,e-,eIoni->eIoni,104,112,8762.718194000001
megalib,e480_550,active_veto,gamma|parent=e+|creator=annihil|step=phot,gamma,e+,annihil->phot,605,607,4984.012679999992
megalib,e480_550,active_veto,gamma|parent=gamma|creator=phot|step=phot,gamma,gamma,phot->phot,519,740,4594.9970099999755
megalib,e480_550,active_veto,e-|parent=gamma|creator=compt|step=msc,e-,gamma,compt->msc,31,535,3395.2879426849977
megalib,e480_550,active_veto,e-|parent=gamma|creator=compt|step=eBrem,e-,gamma,compt->eBrem,34,37,2615.8881517000004
megalib,e480_550,active_veto,gamma|parent=e-|creator=eBrem|step=phot,gamma,e-,eBrem->phot,173,198,1124.0375999999983
megalib,e480_550,active_veto,gamma|parent=e+|creator=annihil|step=compt,gamma,e+,annihil->compt,282,383,642.4381599999995
megalib,e480_550,active_veto,e-|parent=e-|creator=eIoni|step=eBrem,e-,e-,eIoni->eBrem,7,7,289.925634
megalib,e480_550,active_veto,gamma|parent=e-|creator=eIoni|step=phot,gamma,e-,eIoni->phot,67,74,162.36049000000008
megalib,e480_550,active_veto,gamma|parent=gamma|creator=compt|step=phot,gamma,gamma,compt->phot,23,27,138.48875000000004
megalib,e480_550,active_veto,e-|parent=e-|creator=eIoni|step=msc,e-,e-,eIoni->msc,2,13,34.064161999999996
megalib,e480_550,active_veto,e+|parent=Cu64|creator=RadioactiveDecay|step=msc,e+,Cu64,RadioactiveDecay->msc,1,5,11.729469384000001
megalib,e480_550,active_veto,gamma|parent=e-|creator=eBrem|step=compt,gamma,e-,eBrem->compt,4,5,10.757610000000001
megalib,e480_550,active_veto,gamma|parent=Ni64[1345.750]|creator=RadioactiveDecay|step=phot,gamma,Ni64[1345.750],RadioactiveDecay->phot,1,1,9.8792
megalib,e480_550,active_veto,gamma|parent=e+|creator=eBrem|step=phot,gamma,e+,eBrem->phot,1,1,9.8792
megalib,e480_550,active_veto,e-|parent=gamma|creator=phot|step=Transportation,e-,gamma,phot->Transportation,25,62,6.3287582928199955
megalib,e480_550,active_veto,gamma|parent=gamma|creator=phot|step=compt,gamma,gamma,phot->compt,11,11,5.68073
megalib,e480_550,active_veto,e-|parent=gamma|creator=compt|step=Transportation,e-,gamma,compt->Transportation,7,15,1.7161218706
megalib,e480_550,active_veto,e+|parent=Cu64|creator=RadioactiveDecay|step=Transportation,e+,Cu64,RadioactiveDecay->Transportation,1,1,0.006888142
fluka,e480_550,raw,EM_BELOW_THRESHOLD,EM_BELOW_THRESHOLD,,icode_20,1459,2119,734523.5886428087
fluka,e480_550,raw,ELECTRON,ELECTRON,,icode_2,45,48,11969.698421520001
fluka,e480_550,raw,POSITRON,POSITRON,,icode_2,56,57,4309.5926389609995
fluka,e480_550,raw,PHOTON,PHOTON,,icode_22,35,37,280.50400455000016
fluka,e480_550,raw,ELECTRON,ELECTRON,,icode_22,28,28,29.219999527999992
megalib,e480_550,raw,e-|parent=gamma|creator=phot|step=eIoni,e-,gamma,phot->eIoni,1071,3435,338571.68078336946
megalib,e480_550,raw,e-|parent=gamma|creator=compt|step=eIoni,e-,gamma,compt->eIoni,513,791,101396.45936239997
megalib,e480_550,raw,e-|parent=gamma|creator=phot|step=msc,e-,gamma,phot->msc,228,3864,35292.15357762776
megalib,e480_550,raw,e-|parent=gamma|creator=phot|step=eBrem,e-,gamma,phot->eBrem,244,282,25149.48039231001
megalib,e480_550,raw,e-|parent=e-|creator=eIoni|step=eIoni,e-,e-,eIoni->eIoni,182,193,14777.520744000007
megalib,e480_550,raw,gamma|parent=e+|creator=annihil|step=phot,gamma,e+,annihil->phot,1070,1072,8936.010790000017
megalib,e480_550,raw,gamma|parent=gamma|creator=phot|step=phot,gamma,gamma,phot->phot,899,1289,7923.6255600000095
megalib,e480_550,raw,e-|parent=gamma|creator=compt|step=eBrem,e-,gamma,compt->eBrem,63,69,5731.411773699999
megalib,e480_550,raw,e-|parent=gamma|creator=compt|step=msc,e-,gamma,compt->msc,49,774,4983.427899311993
megalib,e480_550,raw,gamma|parent=e-|creator=eBrem|step=phot,gamma,e-,eBrem->phot,302,351,1995.81622
megalib,e480_550,raw,gamma|parent=e+|creator=annihil|step=compt,gamma,e+,annihil->compt,504,673,1137.6246599999963
megalib,e480_550,raw,e-|parent=e-|creator=eIoni|step=eBrem,e-,e-,eIoni->eBrem,8,8,316.03547399999997
megalib,e480_550,raw,gamma|parent=e-|creator=eIoni|step=phot,gamma,e-,eIoni->phot,120,132,288.07373000000007
megalib,e480_550,raw,gamma|parent=gamma|creator=compt|step=phot,gamma,gamma,compt->phot,31,35,185.16661000000002
megalib,e480_550,raw,e+|parent=Cu64|creator=RadioactiveDecay|step=msc,e+,Cu64,RadioactiveDecay->msc,2,24,123.46509866
megalib,e480_550,raw,e+|parent=Cu64|creator=RadioactiveDecay|step=eIoni,e+,Cu64,RadioactiveDecay->eIoni,1,1,89.78106
megalib,e480_550,raw,e-|parent=e-|creator=eIoni|step=msc,e-,e-,eIoni->msc,2,13,34.064161999999996
megalib,e480_550,raw,gamma|parent=e-|creator=eBrem|step=compt,gamma,e-,eBrem->compt,5,6,10.988330000000001
megalib,e480_550,raw,gamma|parent=gamma|creator=phot|step=compt,gamma,gamma,phot->compt,18,18,10.332009999999999
megalib,e480_550,raw,gamma|parent=Ni64[1345.750]|creator=RadioactiveDecay|step=phot,gamma,Ni64[1345.750],RadioactiveDecay->phot,1,1,9.8792
megalib,e480_550,raw,gamma|parent=e+|creator=eBrem|step=phot,gamma,e+,eBrem->phot,1,1,9.8792
megalib,e480_550,raw,e-|parent=gamma|creator=phot|step=Transportation,e-,gamma,phot->Transportation,45,103,6.4234568381199955
megalib,e480_550,raw,e-|parent=gamma|creator=compt|step=Transportation,e-,gamma,compt->Transportation,8,17,1.7269396156
megalib,e480_550,raw,gamma|parent=gamma|creator=compt|step=compt,gamma,gamma,compt->compt,1,1,0.39736
megalib,e480_550,raw,e+|parent=Cu64|creator=RadioactiveDecay|step=Transportation,e+,Cu64,RadioactiveDecay->Transportation,1,1,0.006888142
