dimension,key,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_contribution_per_parent,megalib_contribution_per_parent,contribution_difference_per_parent,difference_share_of_total,z_contribution_difference,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional
source_volume,ColdPlate_MXC_50mK_SD_anchor,w2_510p58_511p42,W2 510.58-511.42 keV,raw,84445,0.084445,438.0,227.0,0.000438,0.000227,0.00021100000000000003,0.8084291187739465,8.18222904717603,0.005186807981526437,0.002688140209603884,1.9295154185022028
source_volume,Cu_SubstrateSupport_SolidDisk_L0_deepest,w2_510p58_511p42,W2 510.58-511.42 keV,raw,4708,0.004708,74.0,164.0,7.4e-05,0.000164,-9e-05,-0.3448275862068966,-5.8338335119694795,0.015717926932880204,0.034834324553950725,0.4512195121951219
source_volume,Cu_50mK_StillLike_Can_side_wall_above_side_port,w2_510p58_511p42,W2 510.58-511.42 keV,raw,26299,0.026299,132.0,77.0,0.000132,7.7e-05,5.500000000000001e-05,0.21072796934865903,3.804429551263411,0.005019202251036161,0.002927867979771094,1.7142857142857142
source_volume,ColdPlate_CP_100mK_intercept,w2_510p58_511p42,W2 510.58-511.42 keV,raw,95876,0.095876,88.0,42.0,8.8e-05,4.2e-05,4.6e-05,0.17624521072796934,4.034466888812335,0.0009178522257916476,0.0004380658350369227,2.0952380952380953
source_volume,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,w2_510p58_511p42,W2 510.58-511.42 keV,raw,31280,0.03128,150.0,107.0,0.00015,0.000107,4.299999999999999e-05,0.16475095785440608,2.682266304672762,0.00479539641943734,0.0034207161125319693,1.4018691588785048
source_volume,ColdPlate_Still_0p7K,w2_510p58_511p42,W2 510.58-511.42 keV,raw,188826,0.188826,47.0,22.0,4.7e-05,2.2e-05,2.4999999999999998e-05,0.09578544061302681,3.0096463271442295,0.00024890640060161207,0.0001165093790050099,2.1363636363636362
source_volume,Cu_50mK_StillLike_Can_bottom_cap_2mm,w2_510p58_511p42,W2 510.58-511.42 keV,raw,26982,0.026982,90.0,114.0,9e-05,0.000114,-2.4e-05,-0.09195402298850575,-1.6803361008336115,0.00333555703802535,0.004225038914832111,0.7894736842105262
source_volume,DR_MixingChamber_Cu,w2_510p58_511p42,W2 510.58-511.42 keV,raw,14457,0.014457,39.0,17.0,3.9e-05,1.7e-05,2.2e-05,0.0842911877394636,2.939873661036668,0.0026976551151691223,0.0011759009476378225,2.2941176470588234
source_volume,DR_Continuous_HEX_CuNi_MXC_to_CP,w2_510p58_511p42,W2 510.58-511.42 keV,raw,9197,0.009197,30.0,12.0,3e-05,1.2e-05,1.8e-05,0.06896551724137931,2.7774602993176543,0.0032619332390997065,0.0013047732956398825,2.5
source_volume,Cu_SubstrateSupport_OpenRing_L4_ZM_panel,w2_510p58_511p42,W2 510.58-511.42 keV,raw,277,0.000277,2.0,16.0,2e-06,1.6e-05,-1.4e-05,-0.05363984674329502,-3.299831645537222,0.007220216606498195,0.05776173285198556,0.125
source_volume,DR_Continuous_HEX_CuNi_CP_to_Still,w2_510p58_511p42,W2 510.58-511.42 keV,raw,13913,0.013913,17.0,4.0,1.7e-05,4e-06,1.3000000000000001e-05,0.04980842911877395,2.8368325730679014,0.0012218788183713074,0.0002875008984403076,4.25
source_volume,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,w2_510p58_511p42,W2 510.58-511.42 keV,raw,407,0.000407,5.0,17.0,5e-06,1.7e-05,-1.2e-05,-0.04597701149425287,-2.5584085962673253,0.012285012285012284,0.04176904176904177,0.29411764705882354
