code,stream,source_tag,band,band_label,stage,stage_label,events,rate_s-1,mc_sigma_s-1,side_compton_class_counts
FLUKA,delayed,Ag-108,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Ag-108,all_tes_gt0,all TES > 0,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Ag-108,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,0.0006787801777182261,0.0006787801777182261,"{""single"": 1}"
FLUKA,delayed,Ag-108,e100_300,100-300 keV,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Ag-108,e100_300,100-300 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Ag-108,e100_300,100-300 keV,side_compton_fov_pass,final,1,0.0006787801777182261,0.0006787801777182261,"{""single"": 1}"
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,4,0.0027151207108729045,0.0013575603554364522,{}
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,raw,raw,4,0.0027151207108729045,0.0013575603554364522,{}
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,4,0.0027151207108729045,0.0013575603554364522,"{""keep"": 1, ""single"": 3}"
FLUKA,delayed,Ag-110,e100_300,100-300 keV,active_veto_pass,active-veto,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Ag-110,e100_300,100-300 keV,raw,raw,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Ag-110,e100_300,100-300 keV,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""keep"": 1, ""single"": 1}"
FLUKA,delayed,Ag-110,e300_480,300-480 keV,active_veto_pass,active-veto,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Ag-110,e300_480,300-480 keV,raw,raw,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Ag-110,e300_480,300-480 keV,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""single"": 2}"
FLUKA,delayed,Al-25,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Al-25,all_tes_gt0,all TES > 0,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Al-25,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,0.0006787801777182261,0.0006787801777182261,"{""single"": 1}"
FLUKA,delayed,Al-25,e300_480,300-480 keV,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Al-25,e300_480,300-480 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Al-25,e300_480,300-480 keV,side_compton_fov_pass,final,1,0.0006787801777182261,0.0006787801777182261,"{""single"": 1}"
FLUKA,delayed,Al-26,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,1,2.6939291195725483e-11,2.6939291195725483e-11,{}
FLUKA,delayed,Al-26,all_tes_gt0,all TES > 0,raw,raw,8,2.155702842878121e-10,7.621560577694355e-11,{}
FLUKA,delayed,Al-26,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,2.6939291195725483e-11,2.6939291195725483e-11,"{""single"": 1}"
FLUKA,delayed,Al-26,e100_300,100-300 keV,raw,raw,1,2.6939291195725483e-11,2.6939291195725483e-11,{}
FLUKA,delayed,Al-26,e1500_3000,1500-3000 keV,raw,raw,1,2.6948616982726857e-11,2.6948616982726857e-11,{}
FLUKA,delayed,Al-26,e300_480,300-480 keV,raw,raw,3,8.084585094818057e-11,4.667637380779641e-11,{}
FLUKA,delayed,Al-26,e480_550,480-550 keV,raw,raw,1,2.6948616982726857e-11,2.6948616982726857e-11,{}
FLUKA,delayed,Al-26,e800_1500,800-1500 keV,raw,raw,1,2.6948616982726857e-11,2.6948616982726857e-11,{}
FLUKA,delayed,Al-26,w2_510p58_511p42,W2 510.58-511.42 keV,raw,raw,1,2.6948616982726857e-11,2.6948616982726857e-11,{}
FLUKA,delayed,Al-28,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,8,0.005430241421745808,0.0019198802663982703,{}
FLUKA,delayed,Al-28,all_tes_gt0,all TES > 0,raw,raw,18,0.012218043198928068,0.0028798203995974063,{}
FLUKA,delayed,Al-28,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,7,0.004751461244027582,0.0017958835451226526,"{""keep"": 2, ""single"": 5, ""veto"": 1}"
FLUKA,delayed,Al-28,e100_300,100-300 keV,active_veto_pass,active-veto,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Al-28,e100_300,100-300 keV,raw,raw,3,0.0020363405331546786,0.0011756817549785996,{}
FLUKA,delayed,Al-28,e100_300,100-300 keV,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""single"": 2}"
FLUKA,delayed,Al-28,e1500_3000,1500-3000 keV,active_veto_pass,active-veto,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Al-28,e1500_3000,1500-3000 keV,raw,raw,6,0.004072681066309356,0.0016626650829253376,{}
FLUKA,delayed,Al-28,e1500_3000,1500-3000 keV,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""keep"": 2}"
FLUKA,delayed,Al-28,e300_480,300-480 keV,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Al-28,e300_480,300-480 keV,raw,raw,5,0.0033939008885911304,0.0015177986191573418,{}
FLUKA,delayed,Al-28,e300_480,300-480 keV,side_compton_fov_pass,final,1,0.0006787801777182261,0.0006787801777182261,"{""single"": 1}"
FLUKA,delayed,Al-28,e480_550,480-550 keV,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Al-28,e480_550,480-550 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Al-28,e480_550,480-550 keV,side_compton_fov_pass,final,0,0.0,0.0,"{""veto"": 1}"
FLUKA,delayed,Al-28,e550_800,550-800 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Al-28,e800_1500,800-1500 keV,active_veto_pass,active-veto,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Al-28,e800_1500,800-1500 keV,raw,raw,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Al-28,e800_1500,800-1500 keV,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""single"": 2}"
FLUKA,delayed,Co-56,all_tes_gt0,all TES > 0,raw,raw,1,8.546182038617397e-05,8.546182038617397e-05,{}
FLUKA,delayed,Co-56,e800_1500,800-1500 keV,raw,raw,1,8.546182038617397e-05,8.546182038617397e-05,{}
FLUKA,delayed,Co-58,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,2,0.0001853077232820125,0.0001310323477389513,{}
FLUKA,delayed,Co-58,all_tes_gt0,all TES > 0,raw,raw,3,0.00027796158492301873,0.00016048119587967988,{}
FLUKA,delayed,Co-58,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,9.265386164100625e-05,9.265386164100625e-05,"{""single"": 1, ""veto"": 1}"
FLUKA,delayed,Co-58,e100_300,100-300 keV,raw,raw,1,9.265386164100625e-05,9.265386164100625e-05,{}
FLUKA,delayed,Co-58,e800_1500,800-1500 keV,active_veto_pass,active-veto,2,0.0001853077232820125,0.0001310323477389513,{}
FLUKA,delayed,Co-58,e800_1500,800-1500 keV,raw,raw,2,0.0001853077232820125,0.0001310323477389513,{}
FLUKA,delayed,Co-58,e800_1500,800-1500 keV,side_compton_fov_pass,final,1,9.265386164100625e-05,9.265386164100625e-05,"{""single"": 1, ""veto"": 1}"
FLUKA,delayed,Co-60,all_tes_gt0,all TES > 0,raw,raw,1,3.6555909104610392e-06,3.6555909104610392e-06,{}
FLUKA,delayed,Co-60,e800_1500,800-1500 keV,raw,raw,1,3.6555909104610392e-06,3.6555909104610392e-06,{}
FLUKA,delayed,Cs-130,all_tes_gt0,all TES > 0,raw,raw,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Cs-130,e1500_3000,1500-3000 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Cs-130,e300_480,300-480 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Cs-132,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,3,0.0016270594121938259,0.0009393831896176196,{}
FLUKA,delayed,Cs-132,all_tes_gt0,all TES > 0,raw,raw,3,0.0016270594121938259,0.0009393831896176196,{}
FLUKA,delayed,Cs-132,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,3,0.0016270594121938259,0.0009393831896176196,"{""single"": 3}"
FLUKA,delayed,Cs-132,e100_300,100-300 keV,active_veto_pass,active-veto,1,0.000542353137397942,0.000542353137397942,{}
FLUKA,delayed,Cs-132,e100_300,100-300 keV,raw,raw,1,0.000542353137397942,0.000542353137397942,{}
FLUKA,delayed,Cs-132,e100_300,100-300 keV,side_compton_fov_pass,final,1,0.000542353137397942,0.000542353137397942,"{""single"": 1}"
FLUKA,delayed,Cs-132,e300_480,300-480 keV,active_veto_pass,active-veto,1,0.000542353137397942,0.000542353137397942,{}
FLUKA,delayed,Cs-132,e300_480,300-480 keV,raw,raw,1,0.000542353137397942,0.000542353137397942,{}
FLUKA,delayed,Cs-132,e300_480,300-480 keV,side_compton_fov_pass,final,1,0.000542353137397942,0.000542353137397942,"{""single"": 1}"
FLUKA,delayed,Cs-132,e550_800,550-800 keV,active_veto_pass,active-veto,1,0.000542353137397942,0.000542353137397942,{}
FLUKA,delayed,Cs-132,e550_800,550-800 keV,raw,raw,1,0.000542353137397942,0.000542353137397942,{}
FLUKA,delayed,Cs-132,e550_800,550-800 keV,side_compton_fov_pass,final,1,0.000542353137397942,0.000542353137397942,"{""single"": 1}"
