code,stream,source_tag,band,band_label,stage,stage_label,deposit_carrier,dominant_events,dominant_rate_s-1,dominant_sigma_s-1,fractional_rate_s-1,energy_rate_keV_s-1,raw_deposit_keV_sum
FLUKA,delayed,Ag-108,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.07161515879044088,105.505672
FLUKA,delayed,Ag-108,all_tes_gt0,all TES > 0,raw,raw,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.07161515879044088,105.505672
FLUKA,delayed,Ag-108,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.07161515879044088,105.505672
FLUKA,delayed,Ag-108,e100_300,100-300 keV,active_veto_pass,active-veto,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.07161515879044088,105.505672
FLUKA,delayed,Ag-108,e100_300,100-300 keV,raw,raw,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.07161515879044088,105.505672
FLUKA,delayed,Ag-108,e100_300,100-300 keV,side_compton_fov_pass,final,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.07161515879044088,105.505672
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0008110076662033337,0.33272502024461875,490.18081429999995
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,3,0.0020363405331546786,0.0011756817549785996,0.0019041130446695708,0.4657934899550715,686.221409
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,raw,raw,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0008110076662033337,0.33272502024461875,490.18081429999995
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,3,0.0020363405331546786,0.0011756817549785996,0.0019041130446695708,0.4657934899550715,686.221409
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0008110076662033337,0.33272502024461875,490.18081429999995
FLUKA,delayed,Ag-110,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,3,0.0020363405331546786,0.0011756817549785996,0.0019041130446695708,0.4657934899550715,686.221409
FLUKA,delayed,Ag-110,e100_300,100-300 keV,active_veto_pass,active-veto,ELECTRON,0,0.0,0.0,0.0001322274884851076,0.02442312325765613,35.9809023
FLUKA,delayed,Ag-110,e100_300,100-300 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0012253328669513447,0.21529970724210934,317.186203
FLUKA,delayed,Ag-110,e100_300,100-300 keV,raw,raw,ELECTRON,0,0.0,0.0,0.0001322274884851076,0.02442312325765613,35.9809023
FLUKA,delayed,Ag-110,e100_300,100-300 keV,raw,raw,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0012253328669513447,0.21529970724210934,317.186203
FLUKA,delayed,Ag-110,e100_300,100-300 keV,side_compton_fov_pass,final,ELECTRON,0,0.0,0.0,0.0001322274884851076,0.02442312325765613,35.9809023
FLUKA,delayed,Ag-110,e100_300,100-300 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0012253328669513447,0.21529970724210934,317.186203
FLUKA,delayed,Ag-110,e300_480,300-480 keV,active_veto_pass,active-veto,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.30830189698696264,454.199912
FLUKA,delayed,Ag-110,e300_480,300-480 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2504937827129622,369.035206
FLUKA,delayed,Ag-110,e300_480,300-480 keV,raw,raw,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.30830189698696264,454.199912
FLUKA,delayed,Ag-110,e300_480,300-480 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2504937827129622,369.035206
FLUKA,delayed,Ag-110,e300_480,300-480 keV,side_compton_fov_pass,final,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.30830189698696264,454.199912
FLUKA,delayed,Ag-110,e300_480,300-480 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2504937827129622,369.035206
FLUKA,delayed,Al-25,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2899526537250438,427.167238
FLUKA,delayed,Al-25,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2899526537250438,427.167238
FLUKA,delayed,Al-25,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2899526537250438,427.167238
FLUKA,delayed,Al-25,e300_480,300-480 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2899526537250438,427.167238
FLUKA,delayed,Al-25,e300_480,300-480 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2899526537250438,427.167238
FLUKA,delayed,Al-25,e300_480,300-480 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2899526537250438,427.167238
FLUKA,delayed,Al-26,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,2.6939291195725483e-11,2.6939291195725483e-11,2.6939291195725483e-11,1.0963519894542552e-09,40.6971357
FLUKA,delayed,Al-26,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,8,2.155702842878121e-10,7.621560577694355e-11,2.155702842878121e-10,1.2729123761925762e-07,4723.5925107
FLUKA,delayed,Al-26,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,2.6939291195725483e-11,2.6939291195725483e-11,2.6939291195725483e-11,1.0963519894542552e-09,40.6971357
FLUKA,delayed,Al-26,e100_300,100-300 keV,raw,raw,EM_BELOW_THRESHOLD,1,2.6939291195725483e-11,2.6939291195725483e-11,2.6939291195725483e-11,7.707601573823501e-09,286.110036
FLUKA,delayed,Al-26,e1500_3000,1500-3000 keV,raw,raw,EM_BELOW_THRESHOLD,1,2.6948616982726857e-11,2.6948616982726857e-11,2.6948616982726857e-11,4.874061556683659e-08,1808.64998
FLUKA,delayed,Al-26,e300_480,300-480 keV,raw,raw,EM_BELOW_THRESHOLD,3,8.084585094818057e-11,4.667637380779641e-11,8.084585094818057e-11,3.0660414170732485e-08,1137.736092
FLUKA,delayed,Al-26,e480_550,480-550 keV,raw,raw,EM_BELOW_THRESHOLD,1,2.6948616982726857e-11,2.6948616982726857e-11,2.6948616982726857e-11,1.377071794647346e-08,510.99906
FLUKA,delayed,Al-26,e800_1500,800-1500 keV,raw,raw,EM_BELOW_THRESHOLD,1,2.6948616982726857e-11,2.6948616982726857e-11,2.6948616982726857e-11,2.5315536371937326e-08,939.400207
FLUKA,delayed,Al-26,w2_510p58_511p42,W2 510.58-511.42 keV,raw,raw,EM_BELOW_THRESHOLD,1,2.6948616982726857e-11,2.6948616982726857e-11,2.6948616982726857e-11,1.377071794647346e-08,510.99906
FLUKA,delayed,Al-28,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,ELECTRON,0,0.0,0.0,3.68177570204055e-05,0.01973479074225291,29.0739055
FLUKA,delayed,Al-28,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,8,0.005430241421745808,0.0019198802663982703,0.005393423664725403,5.075518381706603,7477.411021
FLUKA,delayed,Al-28,all_tes_gt0,all TES > 0,raw,raw,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0007155979347386317,1.5220736323767283,2242.3660594999997
FLUKA,delayed,Al-28,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,17,0.011539263021209842,0.0027986823693077743,0.011502445264189436,10.069790615728287,14835.1276986
FLUKA,delayed,Al-28,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,7,0.004751461244027582,0.0017958835451226526,0.004751461244027582,4.731418277242334,6970.47208
FLUKA,delayed,Al-28,e100_300,100-300 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,0.2720880133529637,400.848496
FLUKA,delayed,Al-28,e100_300,100-300 keV,raw,raw,EM_BELOW_THRESHOLD,3,0.0020363405331546786,0.0011756817549785996,0.0020363405331546786,0.3900860394602068,574.6868460000001
FLUKA,delayed,Al-28,e100_300,100-300 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,0.2720880133529637,400.848496
FLUKA,delayed,Al-28,e1500_3000,1500-3000 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,2.4148962145108266,3557.699965
FLUKA,delayed,Al-28,e1500_3000,1500-3000 keV,raw,raw,ELECTRON,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,1.5023388416344754,2213.2921539999998
FLUKA,delayed,Al-28,e1500_3000,1500-3000 keV,raw,raw,EM_BELOW_THRESHOLD,5,0.0033939008885911304,0.0015177986191573418,0.0033939008885911304,5.880775003173297,8663.7400387
FLUKA,delayed,Al-28,e1500_3000,1500-3000 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,2.4148962145108266,3557.699965
FLUKA,delayed,Al-28,e300_480,300-480 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.2718813132495854,400.543979
FLUKA,delayed,Al-28,e300_480,300-480 keV,raw,raw,EM_BELOW_THRESHOLD,5,0.0033939008885911304,0.0015177986191573418,0.0033939008885911304,1.3078292941840077,1926.7346589
