particle,window,stage,g4_events,g4_rate_s-1,g4_sigma_s-1,fluka_events,fluka_rate_s-1,fluka_sigma_s-1,fluka_over_g4,z,g4_class_counts,fluka_class_counts
alpha,broad_480_550,raw,0,0.0,0.0,0,0.0,0.0,,,{},{}
alpha,broad_480_550,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
alpha,broad_480_550,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
alpha,w2_510p58_511p42,raw,0,0.0,0.0,0,0.0,0.0,,,{},{}
alpha,w2_510p58_511p42,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
alpha,w2_510p58_511p42,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
eminus,broad_480_550,raw,0,0.0,0.0,0,0.0,0.0,,,{},{}
eminus,broad_480_550,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
eminus,broad_480_550,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
eminus,w2_510p58_511p42,raw,0,0.0,0.0,0,0.0,0.0,,,{},{}
eminus,w2_510p58_511p42,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
eminus,w2_510p58_511p42,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
eplus,broad_480_550,raw,78,0.052923407616085424,0.005992395901236676,74,0.05021160531147533,0.005836980554995622,0.9487598696538604,-0.32417065012609153,{},{}
eplus,broad_480_550,active_veto_pass,71,0.04817387103515468,0.005717186654871776,71,0.048175999690739844,0.005717439279812279,1.0000441869324475,0.0002632682183592816,{},{}
eplus,broad_480_550,side_compton_fov_pass,64,0.04342433445422393,0.005428041806777992,66,0.0447833236561807,0.005512446079849302,1.0312955677740865,0.1756634428190724,"{""keep"": 18, ""single"": 46, ""veto"": 7}","{""keep"": 15, ""single"": 51, ""veto"": 5}"
eplus,w2_510p58_511p42,raw,57,0.038674797873293205,0.005122602118612721,47,0.03189115472485595,0.004651803012799152,0.8245978383478073,-0.98035745299852,{},{}
eplus,w2_510p58_511p42,active_veto_pass,52,0.03528227174405695,0.004892770764925064,46,0.031212619517944126,0.004602049678444203,0.8846544730556266,-0.6058736367827032,{},{}
eplus,w2_510p58_511p42,side_compton_fov_pass,47,0.03188974561482074,0.004651597472975844,41,0.02781994348338498,0.0043447452293286426,0.8723789715793681,-0.6393958615532589,"{""keep"": 14, ""single"": 33, ""veto"": 5}","{""keep"": 11, ""single"": 30, ""veto"": 5}"
gamma,broad_480_550,raw,3,0.016283285749953864,0.009401159411027461,5,0.027141446794476925,0.012138024008028834,1.66682862484028,0.7072356095178539,{},{}
gamma,broad_480_550,active_veto_pass,1,0.005427761916651288,0.005427761916651288,3,0.016284868076686155,0.009402072967792295,3.0002915247125035,1.0000728749816337,{},{}
gamma,broad_480_550,side_compton_fov_pass,1,0.005427761916651288,0.005427761916651288,3,0.016284868076686155,0.009402072967792295,3.0002915247125035,1.0000728749816337,"{""keep"": 1}","{""keep"": 1, ""single"": 2}"
gamma,w2_510p58_511p42,raw,2,0.010855523833302577,0.007676014515860437,1,0.005428289358895385,0.005428289358895385,0.5000485874520839,-0.5772754657308575,{},{}
gamma,w2_510p58_511p42,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
gamma,w2_510p58_511p42,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
muminus,broad_480_550,raw,4,0.0027013009465358517,0.0013506504732679258,4,0.0027140575000571348,0.0013570287500285674,1.0047223740611508,0.0066626950455820335,{},{}
muminus,broad_480_550,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
muminus,broad_480_550,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
muminus,w2_510p58_511p42,raw,1,0.0006753252366339629,0.0006753252366339629,1,0.0006785143750142837,0.0006785143750142837,1.0047223740611508,0.0033313475227910168,{},{}
muminus,w2_510p58_511p42,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
muminus,w2_510p58_511p42,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
muplus,broad_480_550,raw,10,0.0068040772752664316,0.002151638156563437,12,0.008142440623973757,0.0023505201430558966,1.1967001982138596,0.4199957932242709,{},{}
muplus,broad_480_550,active_veto_pass,0,0.0,0.0,1,0.0006785367186644798,0.0006785367186644798,,1.0,{},{}
muplus,broad_480_550,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},"{""veto"": 1}"
muplus,w2_510p58_511p42,raw,7,0.004762854092686502,0.0018001896371620948,6,0.004071220311986879,0.0016620687324703984,0.8547858558670427,-0.28228409642614266,{},{}
muplus,w2_510p58_511p42,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
muplus,w2_510p58_511p42,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
n,broad_480_550,raw,246,0.16697346343688402,0.010645839198689007,301,0.20423942889300764,0.011772164973131561,1.2231849581907377,2.347918315844066,{},{}
n,broad_480_550,active_veto_pass,29,0.019683863575892836,0.003655201703356374,28,0.018999016641210148,0.003590476656244266,0.9652076975619038,-0.13366328657296628,{},{}
